query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)NC(=O)CCCCCCC,ZINC15 : ZINC000077293002,consensus,0.6935483870967742,zinc15
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCCCCCCCCC(=O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,ZINC15 : ZINC000095713849,consensus,0.5357142857142857,zinc15
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCCCCCCCCC(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,ZINC15 : ZINC000095713854,consensus,0.5357142857142857,zinc15
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCCCCC(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,ZINC15 : ZINC000100057990,consensus,0.5357142857142857,zinc15
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCCCCC(=O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,ZINC15 : ZINC000100057988,consensus,0.5357142857142857,zinc15
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,ZINC15 : ZINC000070455212,consensus,0.5294117647058824,zinc15
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,ZINC15 : ZINC000100157128,consensus,0.5294117647058824,zinc15
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCCCCCO[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O,ZINC15 : ZINC000071788562,consensus,0.4909090909090909,zinc15
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,ZINC15 : ZINC000066122924,consensus,0.4909090909090909,zinc15
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,ZINC15 : ZINC000059206904,consensus,0.4909090909090909,zinc15
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC,VQFKFAKEUMHBLV-BYSUZVQFSA-N,CCCCCCCCO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000001849674,consensus,0.4909090909090909,zinc15
