query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2,VUKPNWLGSLOHIF-AWEZNQCLSA-N,CN1C(=O)C(NC(=O)C2=CC3=C(N2)SC(Cl)=C3)CC2=CC=CC=C21,ENAMINE-REAL : PV-002258535085,consensus,0.6865671641791045,enamine-real
[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2,VUKPNWLGSLOHIF-AWEZNQCLSA-N,O=C(NCCN1C(=O)Cc2ccccc21)c1cc2cc(Cl)sc2[nH]1,ZINC15 : ZINC000555151460,consensus,0.5616438356164384,zinc15
[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2,VUKPNWLGSLOHIF-AWEZNQCLSA-N,CN1C(=O)C[C@@H](NC(=O)c2cc3cc(Cl)sc3[nH]2)C1=O,ZINC15 : ZINC000574890322,consensus,0.5285714285714286,zinc15
[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2,VUKPNWLGSLOHIF-AWEZNQCLSA-N,CN1C(=O)C[C@H](NC(=O)c2cc3cc(Cl)sc3[nH]2)C1=O,ZINC15 : ZINC000574890323,consensus,0.5285714285714286,zinc15
[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2,VUKPNWLGSLOHIF-AWEZNQCLSA-N,O=C(N[C@H]1CCN(Cc2ccccc2)C1=O)c1cc2cc(Cl)sc2[nH]1,ZINC15 : ZINC000581282524,consensus,0.52,zinc15
[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2,VUKPNWLGSLOHIF-AWEZNQCLSA-N,O=C(N[C@@H]1CCN(Cc2ccccc2)C1=O)c1cc2cc(Cl)sc2[nH]1,ZINC15 : ZINC000581282523,consensus,0.52,zinc15
[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2,VUKPNWLGSLOHIF-AWEZNQCLSA-N,O=C(Cn1cc(NC(=O)c2cc3cc(Cl)sc3[nH]2)cn1)NCCO,ZINC15 : ZINC000486847855,consensus,0.5066666666666667,zinc15
[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2,VUKPNWLGSLOHIF-AWEZNQCLSA-N,O=C(CN1C=C(NC(=O)C2=CC3=C(N2)SC(Cl)=C3)C=N1)NCCO,ENAMINE-REAL : Z2197978563,consensus,0.5066666666666667,enamine-real
[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2,VUKPNWLGSLOHIF-AWEZNQCLSA-N,O=C(N[C@H]1CCCN(Cc2ccccc2)C1=O)c1cc2cc(Cl)sc2[nH]1,ZINC15 : ZINC000813503935,consensus,0.5064935064935064,zinc15
[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2,VUKPNWLGSLOHIF-AWEZNQCLSA-N,O=C(N[C@@H]1CCCN(Cc2ccccc2)C1=O)c1cc2cc(Cl)sc2[nH]1,ZINC15 : ZINC000813503936,consensus,0.5064935064935064,zinc15
