query_smiles,query_inchikey,smiles,identifier,search_type,score,database
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCCC[C@H](NC(=O)CCC[NH3+])[C@@H]1O,ZINC15 : ZINC000257323639,consensus,0.6612903225806451,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NC(=O)CC[NH3+])[C@H]1O,ZINC15 : ZINC000257210078,consensus,0.6557377049180327,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NC(=O)CCC(=O)[O-])[C@H]1O,ZINC15 : ZINC000257218658,consensus,0.6451612903225806,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@H](NC(=O)CC[NH3+])[C@@H]1O,ZINC15 : ZINC000257340778,consensus,0.6290322580645161,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CC[C@H](NC(=O)CCC[NH3+])[C@@H]1O,ZINC15 : ZINC000257271915,consensus,0.59375,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CC[C@H](NC(=O)CC[NH3+])[C@@H]1O,ZINC15 : ZINC000257264217,consensus,0.5873015873015873,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CC(C)(CC(=O)[O-])CC(=O)N[C@H]1CCCC[C@@H](n2cnc3c2ncnc3N)[C@@H]1O,ZINC15 : ZINC000257298204,consensus,0.582089552238806,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H]([NH3+])[C@H]1O,ZINC15 : ZINC000257265814,consensus,0.5714285714285714,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCCC[C@H]([NH3+])[C@@H]1O,ZINC15 : ZINC000257265813,consensus,0.5714285714285714,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCCC[C@H](NC(=O)CC2(CC(=O)[O-])CCCC2)[C@@H]1O,ZINC15 : ZINC000257313828,consensus,0.5652173913043478,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NC(=O)CC2(CC(=O)[O-])CCCC2)[C@H]1O,ZINC15 : ZINC000257313829,consensus,0.5652173913043478,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NC(=O)c2ccc(OCCC[NH3+])cc2)[C@H]1O,ZINC15 : ZINC000257237260,consensus,0.5633802816901409,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CC[C@@H](NC(=O)CC[NH3+])[C@@H](O)[C@@H]1O,ZINC15 : ZINC000257237118,consensus,0.5538461538461539,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CC[C@@H](NC(=O)CCCC(=O)[O-])[C@@H](O)[C@@H]1O,ZINC15 : ZINC000257311286,consensus,0.5522388059701493,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CC[C@@H](NC(=O)C[NH3+])[C@@H](O)[C@@H]1O,ZINC15 : ZINC000257272319,consensus,0.546875,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CC[C@@H](NC(=O)CCC(=O)[O-])[C@@H](O)[C@@H]1O,ZINC15 : ZINC000257240418,consensus,0.5454545454545454,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@H]([NH3+])[C@@H]1O,ZINC15 : ZINC000257280973,consensus,0.543859649122807,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@H](NC(=O)CC2(CC(=O)[O-])CCCC2)[C@@H]1O,ZINC15 : ZINC000257310769,consensus,0.5428571428571428,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@H](NC(=O)c2ccc(OCCC[NH3+])cc2)[C@@H]1O,ZINC15 : ZINC000257213789,consensus,0.5416666666666666,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,C[NH2+][C@H]1CCCC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257290189,consensus,0.5333333333333333,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,C[NH2+][C@H]1CCCC[C@@H](n2cnc3c2ncnc3N)[C@@H]1O,ZINC15 : ZINC000257290188,consensus,0.5333333333333333,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@H](NC(=O)c2ccc(OCC[NH3+])cc2)[C@@H]1O,ZINC15 : ZINC000257245492,consensus,0.5277777777777778,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,C[NH+](C)CCOc1ccc(C(=O)N[C@@H]2CCCC[C@H](n3cnc4c3ncnc4N)[C@H]2O)cc1,ZINC15 : ZINC000257223499,consensus,0.527027027027027,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CC[C@H]([NH3+])[C@@H]1O,ZINC15 : ZINC000257297221,consensus,0.5263157894736842,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CN(C(=O)CC[NH3+])[C@H]1CCC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257255472,consensus,0.5223880597014925,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CC[C@@H]([NH3+])[C@@H](O)[C@@H]1O,ZINC15 : ZINC000257259359,consensus,0.5172413793103449,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1C[C@@H](NC(=O)CCCC(=O)[O-])[C@@H](O)[C@H]1O,ZINC15 : ZINC000257319117,consensus,0.5147058823529411,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CN(C(=O)CCC(=O)[O-])[C@H]1CCC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257254351,consensus,0.5147058823529411,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CN(C(=O)CCC[NH3+])[C@@H]1CC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257238536,consensus,0.5147058823529411,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Cc1cc2[nH]c(CCC(=O)N[C@H]3CCC[C@H](n4cnc5c4ncnc5N)[C@H]3O)nc2c(C)c1,ZINC15 : ZINC000257220240,consensus,0.5128205128205128,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,C[NH2+][C@H]1CCC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257242065,consensus,0.5081967213114754,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CN(C(=O)CC[NH3+])[C@H]1CC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257278631,consensus,0.5074626865671642,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CN(C(=O)CC[NH3+])[C@@H]1CC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257278632,consensus,0.5074626865671642,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CN(C(=O)CCCC[NH3+])[C@@H]1CC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257216254,consensus,0.5072463768115942,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CC[C@@H](NC(=O)OCc2ccccc2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000257296397,consensus,0.5070422535211268,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CC[C@@H](NC(=O)OCc2ccccc2)[C@H](O)[C@H]1O,ZINC15 : ZINC000257296398,consensus,0.5070422535211268,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CC[C@H](NC(=O)c2ccc(OCCC[NH3+])cc2)[C@@H]1O,ZINC15 : ZINC000257309054,consensus,0.5068493150684932,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CN(C(=O)CCC(=O)[O-])[C@@H]1CC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257322557,consensus,0.5,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@H](NC(=O)CCCc2nc3ccc(Cl)cc3[nH]2)[C@@H]1O,ZINC15 : ZINC000257333275,consensus,0.5,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Cc1cc2nc(CCC(=O)N[C@H]3CCC[C@H](n4cnc5c4ncnc5N)[C@H]3O)[nH]c2cc1C,ZINC15 : ZINC000257308944,consensus,0.5,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@H](NC(=O)CCCc2nc3cc(Cl)ccc3[nH]2)[C@@H]1O,ZINC15 : ZINC000257333275,consensus,0.5,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CC[C@@H](NC(=O)/C=C/C(=O)[O-])[C@@H](O)[C@@H]1O,ZINC15 : ZINC000257319956,consensus,0.5,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CCn1c(CCCC(=O)N[C@H]2CCC[C@H](n3cnc4c3ncnc4N)[C@H]2O)nc2ccccc21,ZINC15 : ZINC000257228468,consensus,0.5,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@H](NC(=O)c2ccc3[nH]cnc3c2)[C@@H]1O,ZINC15 : ZINC000257204610,consensus,0.5,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,O=C(O)CCCNC1=NC=NC2=C1N=CN2C1CC1,ENAMINE-REAL : Z2358709508,consensus,0.5,enamine-real
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CN(C(=O)CCC(=O)[O-])[C@H]1CC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257322556,consensus,0.5,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@H](NC(=O)c2cccc(OCC(=O)[O-])c2)[C@@H]1O,ZINC15 : ZINC000257214706,consensus,0.5,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CC(C)c1nc2ccccc2n1CCCC(=O)N[C@H]1CCC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257216643,consensus,0.49382716049382713,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CCn1c(CCC(=O)N[C@H]2CCC[C@H](n3cnc4c3ncnc4N)[C@H]2O)nc2ccccc21,ZINC15 : ZINC000257301513,consensus,0.4936708860759494,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CCc1nc2ccccc2n1CCC(=O)N[C@H]1CCC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257221559,consensus,0.4936708860759494,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CC(C)(CC(=O)[O-])CC(=O)N[C@@H]1CC[C@@H](n2cnc3c2ncnc3N)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000257306516,consensus,0.49295774647887325,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CC[C@@H](NC(=O)c2ccc(C[NH3+])cc2)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000257298483,consensus,0.49295774647887325,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,CC(=O)NCC(=O)N(C)[C@@H]1CC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257306863,consensus,0.4927536231884058,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@@H]1CCC[C@@H]([NH2+]Cc2ccccc2)[C@H]1O,ZINC15 : ZINC000257289725,consensus,0.4925373134328358,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,Nc1ncnc2c1ncn2[C@H]1CCN(C(=O)CC2CCCC2)CC[C@@H]1O,ZINC15 : ZINC000257285969,consensus,0.4925373134328358,zinc15
Nc1ncnc2c1ncn2[C@@H]1CCCC[C@H](NCCCC(=O)O)[C@H]1O,VVTCGQGHJYBJLX-MISXGVKJSA-N,C[NH2+][C@H]1CC[C@H](n2cnc3c2ncnc3N)[C@H]1O,ZINC15 : ZINC000257312002,consensus,0.4918032786885246,zinc15
