query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C(CO)C2=C(C)C3(CC3)[C@](C)(O)C(=O)C2=C1,ZINC15 : ZINC000011680739,consensus,0.6521739130434783,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,ZINC15 : ZINC000003916310,consensus,0.6521739130434783,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=CC2=C(C)C3(CC3)[C@](C)(O)C(=O)C2=C1,ZINC15 : ZINC000013686124,consensus,0.44,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=CC2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,ZINC15 : ZINC000003926359,consensus,0.44,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C2C(=CC(C)(C)[C@H]2O)C(=O)[C@@](C)(O)C12CC2,ZINC15 : ZINC000000898830,consensus,0.3888888888888889,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C2C(=CC(C)(C)[C@@H]2O)C(=O)[C@@](C)(O)C12CC2,ZINC15 : ZINC000001618542,consensus,0.3888888888888889,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C2C(=CC(C)(C)[C@@H]2O)C(=O)[C@](C)(O)C12CC2,ZINC15 : ZINC000004098277,consensus,0.3888888888888889,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C2C(=CC(C)(C)[C@H]2O)C(=O)[C@](C)(O)C12CC2,ZINC15 : ZINC000005766671,consensus,0.3888888888888889,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C2C(=C[C@](C)(CO)[C@H]2O)C(=O)[C@@](C)(O)C12CC2,ZINC15 : ZINC000000967538,consensus,0.38596491228070173,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C2C(=C[C@@](C)(CO)[C@@H]2O)C(=O)[C@@](C)(O)C12CC2,ZINC15 : ZINC000005766705,consensus,0.38596491228070173,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C2C(=C[C@@](C)(CO)[C@H]2O)C(=O)[C@@](C)(O)C12CC2,ZINC15 : ZINC000005766681,consensus,0.38596491228070173,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C2C(=C[C@@](C)(CO)[C@@H]2O)C(=O)[C@](C)(O)C12CC2,ZINC15 : ZINC000001618541,consensus,0.38596491228070173,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C2C(=C[C@](C)(CO)[C@@H]2O)C(=O)[C@@](C)(O)C12CC2,ZINC15 : ZINC000005766703,consensus,0.38596491228070173,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C(CN(C)C(N)=O)C(C)=CC(Br)=C1,ENAMINE-REAL : Z3494576236,consensus,0.22807017543859648,enamine-real
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C(C)C=C(CN(C)C(=O)[C@@]23CC[C@@H](O)[C@@H]2CC3)C(C)=C1,ENAMINE-REAL : Z5529875823,consensus,0.22727272727272727,enamine-real
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CCCCN(O)C(=O)C1=C(C)C(C)(C)OC1=O,ZINC15 : ZINC000904209922,consensus,0.22580645161290322,zinc15
CC1=C(CN(O)C(N)=O)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,VWMPVAZEBAKLFR-HNNXBMFYSA-N,CC1=C(CN(C)C(C)(C)C(N)=O)C(C)=CC=C1,ENAMINE-REAL : Z2275950761,consensus,0.22033898305084745,enamine-real
