query_smiles,query_inchikey,smiles,identifier,search_type,score,database
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccccc3nc2c1,ZINC15 : 5935126,consensus,0.782608695652174,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2nc3ccc(N)cc3nc2c1,ZINC15 : ZINC000005162073,consensus,0.6666666666666666,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc(Nc2ccc3cc4ccc(N)cc4nc3c2)cc1,ZINC15 : ZINC001159700807,consensus,0.6666666666666666,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2ccc(Cl)nc2c1,ZINC15 : 95935188,consensus,0.6,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Cc1ccc2ccc(N)cc2n1,ZINC15 : 5931188,consensus,0.6,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2nc3ccccc3nc2c1,ZINC15 : 5174368,consensus,0.5833333333333334,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4cnc(N)nc4)cc3nc2c1,ZINC15 : ZINC001212965109,consensus,0.5806451612903226,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4ccc(O)cc4)cc3nc2c1,ZINC15 : ZINC001175051164,consensus,0.5806451612903226,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2nc3ccccc3cc2c1,ZINC15 : 5391072,consensus,0.5769230769230769,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4cc(F)nc(F)c4)cc3nc2c1,ZINC15 : ZINC001213082210,consensus,0.5625,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2nc(N)ccc2c1,ZINC15 : 35343654,consensus,0.56,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc(N)ccc2c1,ZINC15 : 3844718,consensus,0.55,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4ccc5nonc5c4)cc3nc2c1,ZINC15 : ZINC001176328414,consensus,0.5454545454545454,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4cc(N)ccc4F)cc3nc2c1,ZINC15 : ZINC001211837102,consensus,0.5454545454545454,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4ccccc4N)cc3nc2c1,ZINC15 : ZINC001206353515,consensus,0.5454545454545454,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4ccc(F)c(N)c4)cc3nc2c1,ZINC15 : ZINC001212343517,consensus,0.5454545454545454,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc(Nc2ccc3cc4ccc(N)cc4nc3c2)c(F)c1,ZINC15 : ZINC001174482252,consensus,0.5454545454545454,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc(Cl)cnc2c1,ZINC15 : 215773074,consensus,0.5357142857142857,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc(O)cnc2c1,ZINC15 : 88189910,consensus,0.5357142857142857,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc(F)cnc2c1,ZINC15 : 97757548,consensus,0.5357142857142857,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Cc1cnc2cc(N)ccc2c1,ZINC15 : 60283604,consensus,0.5357142857142857,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,COc1ccc2ccc(N)cc2n1,ZINC15 : 146998092,consensus,0.5357142857142857,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc(Br)cnc2c1,ZINC15 : ZINC000095616302,consensus,0.5357142857142857,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4cccc(O)c4)cc3nc2c1,ZINC15 : ZINC001174893825,consensus,0.5294117647058824,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Cc1cc(Nc2ccc3cc4ccc(N)cc4nc3c2)cc(C)[nH+]1,ZINC15 : ZINC001176057271,consensus,0.5294117647058824,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2ccc(N)cc2c1,ZINC15 : 337296,consensus,0.5238095238095238,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cccnc2c1,ZINC15 : 15884429,consensus,0.5185185185185185,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2nc(Cl)ccc2c1,ZINC15 : 34558178,consensus,0.5185185185185185,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Cc1ccc2cc(N)ccc2n1,ZINC15 : 52868,consensus,0.5185185185185185,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2ccc(-c3ccccc3)nc2c1,ZINC15 : ZINC000062721797,consensus,0.5172413793103449,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4cn[nH]c4)cc3nc2c1,ZINC15 : ZINC001174296263,consensus,0.5142857142857142,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4cnoc4)cc3nc2c1,ZINC15 : ZINC001203242694,consensus,0.5142857142857142,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4ccccc4O)cc3nc2c1,ZINC15 : ZINC001206227094,consensus,0.5142857142857142,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Cc1ccc(Nc2ccc3cc4ccc(N)cc4nc3c2)cn1,ZINC15 : ZINC001174282587,consensus,0.5142857142857142,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2c(c1)[nH]c1cc3ccc(N)cc3nc12,ZINC15 : ZINC000001648668,consensus,0.5,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccccc3cc2c1,ZINC15 : ZINC000001593346,consensus,0.5,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4cncc(O)c4)cc3nc2c1,ZINC15 : ZINC001201641906,consensus,0.5,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(NC4=CCOC4)cc3nc2c1,ZINC15 : ZINC001203390514,consensus,0.5,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4ccc(=O)[nH]c4)cc3nc2c1,ZINC15 : ZINC001176131818,consensus,0.5,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Cc1cncc(Nc2ccc3cc4ccc(N)cc4nc3c2)c1,ZINC15 : ZINC001174758445,consensus,0.5,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2ccc(C(=O)[O-])nc2c1,ZINC15 : 39083360,consensus,0.5,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4ccncn4)cc3nc2c1,ZINC15 : ZINC001211030127,consensus,0.5,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4cncc(F)c4)cc3nc2c1,ZINC15 : ZINC001174292543,consensus,0.5,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4cc(F)ccc4N)cc3nc2c1,ZINC15 : ZINC001214211200,consensus,0.5,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Cc1ccc(Nc2ccc3cc4ccc(N)cc4nc3c2)nc1,ZINC15 : ZINC001211012033,consensus,0.4864864864864865,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4[nH]cc[nH+]4)cc3nc2c1,ZINC15 : ZINC001176083679,consensus,0.4864864864864865,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,CC(C)(O)C=CNc1ccc2cc3ccc(N)cc3nc2c1,ZINC15 : ZINC001203221144,consensus,0.4864864864864865,zinc15
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,WDVSHHCDHLJJJR-UHFFFAOYSA-N,Nc1ccc2cc3ccc(Nc4ncccc4F)cc3nc2c1,ZINC15 : ZINC001209810399,consensus,0.4864864864864865,zinc15
