query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,WFUZYNUZYKCZJW-UHFFFAOYSA-N,COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,ZINC15 : ZINC000012321838,consensus,1.0,zinc15
COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,WFUZYNUZYKCZJW-UHFFFAOYSA-N,COc1cccc(-c2ccnc3nc(N4CCCC4)[nH]c(=O)c23)c1,ZINC15 : ZINC000015110171,consensus,0.98,zinc15
COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,WFUZYNUZYKCZJW-UHFFFAOYSA-N,COc1cccc(-c2ccnc3nc(N4CCOCC4)[nH]c(=O)c23)c1,ZINC15 : ZINC000012390004,consensus,0.8214285714285714,zinc15
COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,WFUZYNUZYKCZJW-UHFFFAOYSA-N,COc1cccc(-c2ccnc3nc(N4CCC(C)CC4)[nH]c(=O)c23)c1,ZINC15 : ZINC000022606934,consensus,0.8070175438596491,zinc15
COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,WFUZYNUZYKCZJW-UHFFFAOYSA-N,COc1ccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)cc1,ZINC15 : ZINC000013727035,consensus,0.7777777777777778,zinc15
COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,WFUZYNUZYKCZJW-UHFFFAOYSA-N,COc1ccc(-c2ccnc3nc(N4CCCC4)[nH]c(=O)c23)cc1,ZINC15 : ZINC000015110168,consensus,0.7592592592592593,zinc15
COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,WFUZYNUZYKCZJW-UHFFFAOYSA-N,COc1cccc(-c2ccnc3nc(N4CCC(C(N)=O)CC4)[nH]c(=O)c32)c1,ZINC15 : ZINC000057531105,consensus,0.7419354838709677,zinc15
COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,WFUZYNUZYKCZJW-UHFFFAOYSA-N,COc1cccc(-c2ccnc3nc(N4CCc5ccccc5C4)[nH]c(=O)c23)c1,ZINC15 : ZINC000022606793,consensus,0.7377049180327869,zinc15
COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,WFUZYNUZYKCZJW-UHFFFAOYSA-N,COc1ccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)cc1OC,ZINC15 : ZINC000012389902,consensus,0.7368421052631579,zinc15
COc1cccc(-c2ccnc3nc(N4CCCCC4)[nH]c(=O)c23)c1,WFUZYNUZYKCZJW-UHFFFAOYSA-N,COc1ccc(-c2ccnc3nc(N4CCCC4)[nH]c(=O)c23)cc1OC,ZINC15 : ZINC000015110174,consensus,0.7192982456140351,zinc15
