query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@H]1[C@@H](O)O[C@@H](CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000003870075,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@H]1[C@H](O)O[C@@H](CO)[C@H](O)[C@@H]1O,ZINC15 : ZINC000005883978,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000005227360,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@H](CO)O[C@@H]1O,ZINC15 : ZINC000003870076,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@H]1[C@@H](O)[C@H](O)[C@H](CO)O[C@@H]1O,ZINC15 : ZINC000003870077,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,ZINC15 : ZINC000004096030,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1O,ZINC15 : ZINC000004301186,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000004228290,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@H]1[C@H](O)O[C@@H](CO)[C@H](O)[C@H]1O,ZINC15 : ZINC000000895331,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@@H]1[C@@H](O)O[C@@H](CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000000895509,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@@H]1[C@H](O)O[C@@H](CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000000895508,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,ZINC15 : ZINC000003860151,consensus,0.625,zinc15
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,WHCJUIFHMJFEFZ-UIAUGNHASA-N,CC(=O)N[C@H]1[C@H](O)O[C@@H](CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000001042045,consensus,0.625,zinc15
