query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],WJRFSUVOHUMYAO-UHFFFAOYSA-N,COC(C)(C)CCSCCOCC(F)(F)F,ZINC15 : ZINC000344823779,consensus,0.32432432432432434,zinc15
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],WJRFSUVOHUMYAO-UHFFFAOYSA-N,COC(C)(C)C[N@H+](C)CCOCC(F)(F)C(F)(F)F,ZINC15 : ZINC000530335370,consensus,0.3,zinc15
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],WJRFSUVOHUMYAO-UHFFFAOYSA-N,COC(C)(C)CCSCCCOCC(F)(F)F,ZINC15 : ZINC000344786745,consensus,0.3,zinc15
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],WJRFSUVOHUMYAO-UHFFFAOYSA-N,COC(C)(C)C[N@H+](C)CCCOCC(F)(F)F,ZINC15 : ZINC000531829254,consensus,0.3,zinc15
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],WJRFSUVOHUMYAO-UHFFFAOYSA-N,COC(C)(C)C[N@@H+](C)CCCOCC(F)(F)F,ZINC15 : ZINC000531829254,consensus,0.3,zinc15
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],WJRFSUVOHUMYAO-UHFFFAOYSA-N,COC(C)(C)C[N@@H+](C)CCOCC(F)(F)C(F)(F)F,ZINC15 : ZINC000530335370,consensus,0.3,zinc15
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],WJRFSUVOHUMYAO-UHFFFAOYSA-N,COC(C)(C)CC=NOCC(F)(F)F,ENAMINE-REAL : Z1877848517,consensus,0.2972972972972973,enamine-real
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],WJRFSUVOHUMYAO-UHFFFAOYSA-N,COCC(C)(C)C[NH2+]CC(C)(C)OC,ZINC15 : ZINC000336650455,consensus,0.29411764705882354,zinc15
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],WJRFSUVOHUMYAO-UHFFFAOYSA-N,COC(C)(C)C[NH2+]CC(C)(C)C,ZINC15 : 133017194,consensus,0.2903225806451613,zinc15
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],WJRFSUVOHUMYAO-UHFFFAOYSA-N,CC[NH2+]CC(C)(C)OC,ZINC15 : 51957335,consensus,0.2903225806451613,zinc15
