query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCCCCC(=O)NCCCCCCNc1ncnc2[nH]cnc21,ZINC15 : ZINC001094955021,consensus,0.6612903225806451,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCCCC(=O)NCCCCCCNc1ncnc2[nH]cnc21,ZINC15 : ZINC001094923207,consensus,0.6612903225806451,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,Cc1cccc(C(=O)NCCCNc2ncnc3[nH]cnc32)c1,ZINC15 : ZINC001094289905,consensus,0.6461538461538462,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,O=C(NCCCNc1ncnc2[nH]cnc21)c1cccc(Cl)c1,ZINC15 : ZINC001094416648,consensus,0.6461538461538462,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,O=C(NCCCNc1ncnc2[nH]cnc21)c1cccc(Br)c1,ZINC15 : ZINC000301144600,consensus,0.6461538461538462,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,O=C(NCCCNc1ncnc2[nH]cnc21)c1cccc(O)c1,ZINC15 : ZINC000078727549,consensus,0.6307692307692307,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,O=C(NCCCNc1ncnc2[nH]cnc21)c1cccc(F)c1,ZINC15 : ZINC000301224602,consensus,0.6212121212121212,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CC(C)c1cccc(C(=O)NCCCNc2ncnc3[nH]cnc32)c1,ZINC15 : ZINC001094562998,consensus,0.6176470588235294,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCCNC(=O)c1cccc(-c2ncnc3[nH]cnc32)c1,ZINC15 : ZINC001240084776,consensus,0.6153846153846154,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCCC(=O)NCCCNc1ncnc2[nH]cnc21,ZINC15 : ZINC001094309435,consensus,0.6031746031746031,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCC(=O)NCCCCCCNc1ncnc2[nH]cnc21,ZINC15 : ZINC001094921736,consensus,0.6031746031746031,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCNC(=O)c1cccc(CNc2ncnc3[nH]cnc32)c1,ZINC15 : ZINC000052337780,consensus,0.5882352941176471,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCC(=O)Nc1cccc(CNc2ncnc3[nH]cnc32)c1,ZINC15 : ZINC000052324838,consensus,0.5882352941176471,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,COc1cccc(C(=O)NCCNc2ncnc3[nH]cnc32)c1,ZINC15 : ZINC000301058854,consensus,0.5882352941176471,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCCNC(=O)c1ccc(CNc2ncnc3[nH]cnc32)cc1,ZINC15 : ZINC000076750448,consensus,0.582089552238806,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCCNC(=O)c1cccc(NC(=O)CCC)c1,ZINC15 : ZINC000012404289,consensus,0.5737704918032787,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCc1ccc(C(=O)NCCCNc2ncnc3[nH]cnc32)cc1,ZINC15 : ZINC001094748076,consensus,0.5735294117647058,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCC(=O)NCCCCCCNc1ncnc2[nH]cnc21,ZINC15 : ZINC001094921010,consensus,0.5714285714285714,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCNC(=O)c1cccc(NC(=O)CCCCCNC(C)=O)c1,ZINC15 : ZINC000049761669,consensus,0.5692307692307692,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCNC(=O)c1cccc(NC(=O)CCCCNC(N)=O)c1,ZINC15 : ZINC000047119387,consensus,0.5692307692307692,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,Cc1cc(C(=O)NCCCCCCNc2ncnc3[nH]cnc32)co1,ZINC15 : ZINC001094948930,consensus,0.5652173913043478,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,Cn1ccc(C(=O)NCCCCCCNc2ncnc3[nH]cnc32)c1,ZINC15 : ZINC001094945972,consensus,0.5652173913043478,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCCCCCCC(=O)Nc1ncnc2[nH]cnc21,ZINC15 : ZINC000095741223,consensus,0.5645161290322581,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,Cc1cc(C)cc(C(=O)NCCCNc2ncnc3[nH]cnc32)c1,ZINC15 : ZINC001094414686,consensus,0.5606060606060606,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,O=C(NCCCCCCNc1ncnc2[nH]cnc21)c1ccsc1,ZINC15 : ZINC001094916945,consensus,0.5588235294117647,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCCNC(=O)c1cccc(NC(=O)CCCC(=O)[O-])c1,ZINC15 : ZINC000012403800,consensus,0.5538461538461539,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,O=C(CCCNc1ncnc2[nH]cnc21)Nc1ccc(Cl)cc1,ZINC15 : ZINC000052486704,consensus,0.5522388059701493,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,CCCCc1ccc(C(=O)NCCNc2ncnc3[nH]cnc32)cc1,ZINC15 : ZINC001093980279,consensus,0.5507246376811594,zinc15
CCCCNC(=O)C1=CC=CC(NC(=O)CCCCCNC2=C3N=CNC3=NC=N2)=C1,WOYITRCGMUXUDE-UHFFFAOYSA-N,Cc1ccc(C(=O)NCCCCCCNc2ncnc3[nH]cnc32)o1,ZINC15 : ZINC001094918945,consensus,0.5507246376811594,zinc15
