query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCc1ccccc1,ZINC15 : 895934,consensus,1.0,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCC1=CC=C(CCC2=CC=CC=C2)C=C1,ENAMINE-REAL : PV-004152022720,consensus,0.8888888888888888,enamine-real
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCC1=CC=CC(CCC2=CC=CC=C2)=C1,ENAMINE-REAL : PV-004434926196,consensus,0.7619047619047619,enamine-real
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCc1ccc(-c2ccccc2)cc1,ZINC15 : 33947488,consensus,0.7142857142857143,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCC1=CC=C(C2=CC=CC=C2)C=C1,ENAMINE-REAL : Z3225743982,consensus,0.7142857142857143,enamine-real
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCc1ccc(CCO)cc1,ZINC15 : 401242,consensus,0.7058823529411765,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCCc1ccccc1,ZINC15 : 1747839,consensus,0.7,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCc1ccc(COCc2ccccc2)cc1,ZINC15 : ZINC001249999277,consensus,0.6956521739130435,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCc1ccc(C[NH2+]Cc2ccccc2)cc1,ZINC15 : ZINC000898172515,consensus,0.6956521739130435,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCC1=CC=CC=C1CCC1=CC=CC=C1,ENAMINE-REAL : PV-004258380535,consensus,0.6818181818181818,enamine-real
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCCCc1ccccc1,ZINC15 : 1696779,consensus,0.6666666666666666,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCc1cccc(CCO)c1,ZINC15 : 34179534,consensus,0.65,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,c1ccc(CCc2ccccc2)cc1,ZINC15 : 1000250,consensus,0.6470588235294118,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCC1=CN=CC(CCC2=CC=CC=C2)=C1,ENAMINE-REAL : Z4929205303,consensus,0.64,enamine-real
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCCCCCCCCCc1ccccc1,ZINC15 : ZINC000002560503,consensus,0.6363636363636364,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCCCCCCCc1ccccc1,ZINC15 : ZINC000002390034,consensus,0.6363636363636364,zinc15
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCCC1=CC=C(CCC2=CC=CC=C2)C=C1,ENAMINE-REAL : PV-008341235720,consensus,0.6363636363636364,enamine-real
OCCC1=CC=CC=C1,WRMNZCZEMHIOCP-UHFFFAOYSA-N,OCCCCCCc1ccccc1,ZINC15 : 2560471,consensus,0.6363636363636364,zinc15
