query_smiles,query_inchikey,smiles,identifier,search_type,score,database
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,WRXVPTMENPZUIZ-MOVIZTNPSA-N,O=c1c(O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)c(-c2ccc(O)cc2)oc2cc([O-])cc(O)c12,ZINC15 : ZINC000036389504,consensus,0.5657894736842105,zinc15
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,WRXVPTMENPZUIZ-MOVIZTNPSA-N,COc1cc2oc(-c3ccc(O)cc3)c(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@@H]3O)c(=O)c2c(O)c1OC,ZINC15 : ZINC000004972305,consensus,0.5454545454545454,zinc15
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,WRXVPTMENPZUIZ-MOVIZTNPSA-N,COc1cc2oc(-c3ccc(O)cc3)c(O[C@@H]3O[C@@H](C)[C@H](O)[C@H](O)[C@@H]3O)c(=O)c2c(O)c1OC,ZINC15 : ZINC000004972304,consensus,0.5454545454545454,zinc15
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,WRXVPTMENPZUIZ-MOVIZTNPSA-N,COc1cc2oc(-c3ccc(O)cc3)c(O[C@@H]3O[C@H](C)[C@H](O)[C@H](O)[C@@H]3O)c(=O)c2c(O)c1OC,ZINC15 : ZINC000004972303,consensus,0.5454545454545454,zinc15
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,WRXVPTMENPZUIZ-MOVIZTNPSA-N,COc1cc2oc(-c3ccc(O)cc3)c(O[C@@H]3O[C@@H](C)[C@@H](O)[C@H](O)[C@@H]3O)c(=O)c2c(O)c1OC,ZINC15 : ZINC000004972306,consensus,0.5454545454545454,zinc15
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,WRXVPTMENPZUIZ-MOVIZTNPSA-N,COc1cc2oc(-c3ccc(O)cc3)c(O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@@H]3O)c(=O)c2c([O-])c1OC,ZINC15 : ZINC000004972305,consensus,0.5384615384615384,zinc15
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,WRXVPTMENPZUIZ-MOVIZTNPSA-N,COc1cc2oc(-c3ccc(O)cc3)c(O[C@@H]3O[C@H](C)[C@H](O)[C@H](O)[C@@H]3O)c(=O)c2c([O-])c1OC,ZINC15 : ZINC000004972303,consensus,0.5384615384615384,zinc15
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,WRXVPTMENPZUIZ-MOVIZTNPSA-N,COc1cc2oc(-c3ccc(O)cc3)c(O[C@@H]3O[C@@H](C)[C@@H](O)[C@H](O)[C@@H]3O)c(=O)c2c([O-])c1OC,ZINC15 : ZINC000004972306,consensus,0.5384615384615384,zinc15
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,WRXVPTMENPZUIZ-MOVIZTNPSA-N,COc1cc2oc(-c3ccc(O)cc3)c(O[C@@H]3O[C@@H](C)[C@H](O)[C@H](O)[C@@H]3O)c(=O)c2c([O-])c1OC,ZINC15 : ZINC000004972304,consensus,0.5384615384615384,zinc15
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,WRXVPTMENPZUIZ-MOVIZTNPSA-N,O=C(C=Cc1ccc(O)cc1)OC[C@H]1O[C@@H](Oc2c(=O)c3c(O)cc([O-])cc3oc2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000049888963,consensus,0.5232558139534884,zinc15
