query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccccc1,ZINC15 : 895302,consensus,1.0,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(Cc2ccccc2)cc1,ZINC15 : 32207250,consensus,0.7777777777777778,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(-c2ccccc2)cc1,ZINC15 : 1736640,consensus,0.6842105263157895,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCC1=CC=C(C2=CC=CC=C2)C=C1,ENAMINE-REAL : PV-002721051201,consensus,0.6842105263157895,enamine-real
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(C[NH2+]Cc2ccccc2)cc1,ZINC15 : ZINC000107800217,consensus,0.6666666666666666,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(CO)cc1,ZINC15 : 404295,consensus,0.6666666666666666,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(C[NH+](Cc2ccccc2)Cc2ccccc2)cc1,ZINC15 : ZINC000306580483,consensus,0.6666666666666666,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(CSCc2ccccc2)cc1,ZINC15 : ZINC000076979988,consensus,0.6666666666666666,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1cccc(CO)c1,ZINC15 : 406981,consensus,0.6111111111111112,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,O=[S@@](Cc1ccccc1)Cc1ccc(CO)cc1,ZINC15 : ZINC000305790855,consensus,0.6086956521739131,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,O=[S@](Cc1ccccc1)Cc1ccc(CO)cc1,ZINC15 : ZINC000305790854,consensus,0.6086956521739131,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,C[N@@H+](Cc1ccccc1)Cc1ccc(CO)cc1,ZINC15 : ZINC000084896441,consensus,0.6086956521739131,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,C[N@H+](Cc1ccccc1)Cc1ccc(CO)cc1,ZINC15 : ZINC000084896441,consensus,0.6086956521739131,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(N(c2ccccc2)c2ccccc2)cc1,ZINC15 : ZINC000034472849,consensus,0.5909090909090909,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCC1=CC=CC(C2=CC=CC=C2)=C1,ENAMINE-REAL : Z3227053293,consensus,0.5909090909090909,enamine-real
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(C#Cc2ccccc2)cc1,ZINC15 : ZINC000141676416,consensus,0.5909090909090909,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCC1=CC=C(/C=C/C2=CC=CC=C2)C=C1,ENAMINE-REAL : Z3234973709,consensus,0.5909090909090909,enamine-real
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1cccc(Cc2ccccc2)c1,ZINC15 : 32207247,consensus,0.5909090909090909,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(Oc2ccccc2)cc1,ZINC15 : ZINC000000346020,consensus,0.5909090909090909,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,ZINC15 : ZINC000169818661,consensus,0.5909090909090909,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(Sc2ccccc2)cc1,ZINC15 : ZINC000001675834,consensus,0.5909090909090909,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(OCc2ccccc2)cc1,ZINC15 : ZINC000002504423,consensus,0.5833333333333334,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCCc1ccccc1,ZINC15 : 895934,consensus,0.5789473684210527,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCC1=CC=CC(C2=CC=CC(C3=CC=CC=C3)=C2)=C1,ENAMINE-REAL : Z4768737303,consensus,0.5652173913043478,enamine-real
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCC[N@@H+](Cc1ccccc1)Cc1ccc(CO)cc1,ZINC15 : ZINC000084896483,consensus,0.56,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCC[N@H+](Cc1ccccc1)Cc1ccc(CO)cc1,ZINC15 : ZINC000084896483,consensus,0.56,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OC(Cc1ccccc1)Cc1ccccc1,ZINC15 : ZINC000001848529,consensus,0.55,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccccc1Cc1ccccc1,ZINC15 : 1598694,consensus,0.5454545454545454,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(OCCOc2ccccc2)cc1,ZINC15 : ZINC000020298081,consensus,0.5416666666666666,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(CNc2ccccc2)cc1,ZINC15 : ZINC000166277862,consensus,0.5416666666666666,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(COc2ccccc2)cc1,ZINC15 : ZINC000012370755,consensus,0.5416666666666666,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(C[N@@H+](CCc2ccccc2)Cc2ccccc2)cc1,ZINC15 : ZINC001203188933,consensus,0.5384615384615384,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccc(C[NH2+]CCc2ccccc2)cc1,ZINC15 : ZINC000107800207,consensus,0.5384615384615384,zinc15
OCC1=CC=CC=C1,WVDDGKGOMKODPV-UHFFFAOYSA-N,O=[S@](Cc1ccccc1)c1ccc(CO)cc1,ZINC15 : ZINC000342144010,consensus,0.5384615384615384,zinc15
