query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=[N+]([O-])c1nccn1C[C@@H](O)CN1CC1,ZINC15 : ZINC000001580448,consensus,0.8717948717948718,zinc15
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=[N+]([O-])c1nccn1C[C@H](O)CN1CC1,ZINC15 : ZINC000005117602,consensus,0.8717948717948718,zinc15
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=[N+]([O-])C1=NC=CN1CC(O)CN1CCOCC1,ENAMINE-REAL : Z2790307587,consensus,0.7727272727272727,enamine-real
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=[N+]([O-])c1nccn1C[C@@H](O)CN1CCOCC1,ZINC15 : ZINC000031417037,consensus,0.7727272727272727,zinc15
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=[N+]([O-])c1nccn1C[C@H](O)CN1CCOCC1,ZINC15 : ZINC000031417041,consensus,0.7727272727272727,zinc15
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=[N+]([O-])C1=NC=CN1CC(O)CN1CCSCC1,ENAMINE-REAL : Z2790307513,consensus,0.7727272727272727,enamine-real
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=[N+]([O-])c1nccn1C[C@H](O)C[NH+]1CCCCC1,ZINC15 : ZINC000000000630,consensus,0.6739130434782609,zinc15
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=[N+]([O-])c1nccn1C[C@@H](O)C[NH+]1CCCCC1,ZINC15 : ZINC000001571940,consensus,0.6739130434782609,zinc15
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=[N+]([O-])c1nccn1C[C@@H](O)CO,ZINC15 : 13283638,consensus,0.6666666666666666,zinc15
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=[N+]([O-])c1nccn1C[C@H](O)CO,ZINC15 : 1481773,consensus,0.6666666666666666,zinc15
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=C1CCCN1C[C@@H](O)CN1C=CN=C1[N+](=O)[O-],ENAMINE-REAL : PV-006596933951,consensus,0.6666666666666666,enamine-real
OC(CN1C=CN=C1[N+]([O-])=O)CN1CCCCC1,WVWOOAYQYLJEFD-UHFFFAOYSA-N,O=C1CCCN1CC(O)CN1C=CN=C1[N+](=O)[O-],ENAMINE-REAL : PV-006596933952,consensus,0.6666666666666666,enamine-real
