query_smiles,query_inchikey,smiles,identifier,search_type,score,database
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@H]1CC[C@@H](CO)O1,ZINC15 : ZINC000000040146,morgan,1.0,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1CC[C@H](CO)O1,ZINC15 : ZINC000000040149,morgan,1.0,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@H](CO)O1,ZINC15 : ZINC000001682100,morgan,0.8604651162790697,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1CCC[C@H](CO)O1,ZINC15 : ZINC000001682101,morgan,0.8604651162790697,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1CCC[C@@H](CO)O1,ZINC15 : ZINC000001682099,morgan,0.8604651162790697,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@H]1CCC[C@@H](CO)O1,ZINC15 : ZINC000001682098,morgan,0.8604651162790697,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,NS(=O)(=O)Nc1ncnc2c1ncn2[C@H]1CC[C@@H](CO)O1,ZINC15 : ZINC001260074402,morgan,0.6538461538461539,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,C=CNc1ncnc2c1ncn2[C@H]1CC[C@@H](CO)O1,ZINC15 : ZINC001174779993,morgan,0.6470588235294118,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ccn2[C@@H]1CC[C@@H](CO)O1,ZINC15 : ZINC000034265109,morgan,0.6458333333333334,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ccn2[C@H]1CC[C@@H](CO)O1,ZINC15 : ZINC000005932827,morgan,0.6458333333333334,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O,ZINC15 : ZINC000001319796,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,ZINC15 : ZINC000001081581,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)C[C@@H]1O,ZINC15 : ZINC000004514134,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@H]1C[C@H]([NH3+])[C@@H](CO)O1,ZINC15 : ZINC000001595397,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1C[C@@H]([NH3+])[C@H](CO)O1,ZINC15 : ZINC000005488404,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@H]1O[C@@H](CO)C[C@@H]1O,ZINC15 : ZINC000000057256,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)C[C@H]1O,ZINC15 : ZINC000004514131,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1C[C@@H](O)[C@@H](CO)O1,ZINC15 : ZINC000009214236,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1C[C@@H](O)[C@H](CO)O1,ZINC15 : ZINC000000039105,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@H](CO)O1,ZINC15 : ZINC000015958242,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1C[C@H](O)[C@@H](CO)O1,ZINC15 : ZINC000003978745,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@H]1C[C@@H](O)[C@H](CO)O1,ZINC15 : ZINC000003869836,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@H]1O[C@@H](CO)C[C@H]1O,ZINC15 : ZINC000004514129,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1C[C@H](O)[C@H](CO)O1,ZINC15 : ZINC000001842582,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@@H]1O,ZINC15 : ZINC000005941273,morgan,0.6326530612244898,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,CCC(C)=Nc1ncnc2c1ncn2[C@H]1CC[C@@H](CO)O1,ZINC15 : ZINC001210792262,morgan,0.6226415094339622,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@H]1O[C@H](CO)C[C@@H]1F,ZINC15 : ZINC000011617024,morgan,0.62,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1c(I)cn2[C@H]1CC[C@@H](CO)O1,ZINC15 : ZINC000034239378,morgan,0.62,zinc15
NC1=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=NC=N1,WVXRAFOPTSTNLL-NKWVEPMBSA-N,Nc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)C[C@H]1F,ZINC15 : ZINC000005594742,morgan,0.62,zinc15
