query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCCN2CCOCC2)c1)c1cc(OC)c(OC)c(OC)c1,ZINC15 : ZINC000029128664,consensus,0.7790697674418605,zinc15
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(N)c1,ZINC15 : ZINC000027645690,consensus,0.5666666666666667,zinc15
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@@H](CCc1ccc(OC)c(OC)c1)c1cccc(N)c1,ZINC15 : ZINC000027645682,consensus,0.5666666666666667,zinc15
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@H](C(=O)N1CCCC[C@@H]1C(=O)OC)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z5502674359,consensus,0.5526315789473685,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@H](C(=O)N1CCCCC1C(=O)OC)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z5499692782,consensus,0.5526315789473685,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@@H](C(=O)N1CCCCC1C(=O)OC)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z5452899874,consensus,0.5526315789473685,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@@H](C(=O)N1CCCC[C@@H]1C(=O)OC)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z5453986956,consensus,0.5526315789473685,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@@H](C(=O)N1CCCC[C@H]1C(=O)OC)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z5458029351,consensus,0.5526315789473685,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@H](C(=O)N1CCCC[C@H]1C(=O)OC)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z5515936171,consensus,0.5526315789473685,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@@H](C(=O)N1CCCC[C@H]1C(=O)O)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z6096735681,consensus,0.5394736842105263,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z3234975388,consensus,0.5394736842105263,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@@H](C(=O)N1CCCC[C@@H]1C(=O)O)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z6096730556,consensus,0.5394736842105263,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@H](C(=O)N1CCCCC1C(=O)O)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z4871095209,consensus,0.5394736842105263,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@@H](C(=O)N1CCCCC1C(=O)O)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z6096169321,consensus,0.5394736842105263,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@H](C(=O)N1CCCC[C@@H]1C(=O)O)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z3247601148,consensus,0.5394736842105263,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@@H](C(=O)N1CCC[C@@H]1C(=O)OC(C)C)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z5459720550,consensus,0.5256410256410257,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@@H](C(=O)N1CCC[C@H]1C(=O)OC(C)C)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z5453606163,consensus,0.5256410256410257,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@H](C(=O)N1CCC[C@@H]1C(=O)OC(C)C)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z5517543871,consensus,0.5256410256410257,enamine-real
[H][C@](CCC1=CC(OC)=C(OC)C=C1)(OC(=O)[C@]1([H])CCCCN1C(=O)[C@@]([H])(CC)C1=CC(OC)=C(OC)C(OC)=C1)C1=CC(OCC(O)=O)=CC=C1,XCCRAOPQCACRFC-OIFRRMEBSA-N,CC[C@H](C(=O)N1CCC[C@H]1C(=O)OC(C)C)C1=CC(OC)=C(OC)C(OC)=C1,ENAMINE-REAL : Z5501881789,consensus,0.5256410256410257,enamine-real
