query_smiles,query_inchikey,smiles,identifier,search_type,score,database
C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@]2(C)[C@@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,XCDQFROEGGNAER-NNEHRPRASA-N,C[C@H]1[C@H](O)CC[C@H]2[C@@]3(C)CC[C@@]4(C)[C@H]5CC(C)(C)CC[C@]5(C)CC[C@]4(C)[C@H]3CC[C@]12C,ZINC15 : ZINC000005276270,consensus,1.0,zinc15
C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@]2(C)[C@@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,XCDQFROEGGNAER-NNEHRPRASA-N,C[C@@H]1[C@@H](O)CC[C@H]2[C@@]3(C)CC[C@@]4(C)[C@H]5CC(C)(C)CC[C@]5(C)CC[C@]4(C)[C@@H]3CC[C@]12C,ZINC15 : ZINC000004831517,consensus,1.0,zinc15
C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@]2(C)[C@@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,XCDQFROEGGNAER-NNEHRPRASA-N,C[C@H]1[C@@H](O)CC[C@H]2[C@@]3(C)CC[C@@]4(C)[C@H]5CC(C)(C)CC[C@]5(C)CC[C@]4(C)[C@@H]3CC[C@]12C,ZINC15 : ZINC000004831518,consensus,1.0,zinc15
C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@]2(C)[C@@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,XCDQFROEGGNAER-NNEHRPRASA-N,C[C@H]1[C@@H](O)CC[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@@]4(C)CCC(C)(C)C[C@H]4[C@]3(C)CC[C@]12C,ZINC15 : ZINC000006067010,consensus,1.0,zinc15
C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@]2(C)[C@@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,XCDQFROEGGNAER-NNEHRPRASA-N,C[C@H]1[C@@H](O)CC[C@H]2[C@@]3(C)CC[C@@]4(C)[C@H]5CC(C)(C)CC[C@]5(C)CC[C@]4(C)[C@H]3CC[C@]12C,ZINC15 : ZINC000005276295,consensus,1.0,zinc15
C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@]2(C)[C@@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,XCDQFROEGGNAER-NNEHRPRASA-N,C[C@@H]1[C@@H](O)CC[C@H]2[C@@]3(C)CC[C@@]4(C)[C@H]5CC(C)(C)CC[C@]5(C)CC[C@]4(C)[C@H]3CC[C@]12C,ZINC15 : ZINC000005275464,consensus,1.0,zinc15
C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@]2(C)[C@@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,XCDQFROEGGNAER-NNEHRPRASA-N,C[C@@H]1[C@H](O)CC[C@H]2[C@@]3(C)CC[C@@]4(C)[C@@H]5CC(C)(C)CC[C@]5(C)CC[C@@]4(C)[C@H]3CC[C@]12C,ZINC15 : ZINC000257350388,consensus,1.0,zinc15
C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@]2(C)[C@@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,XCDQFROEGGNAER-NNEHRPRASA-N,C[C@@H]1[C@H](O)CC[C@H]2[C@@]3(C)CC[C@@]4(C)[C@@H]5CC(C)(C)CC[C@@]5(C)CC[C@@]4(C)[C@H]3CC[C@]12C,ZINC15 : ZINC000257350387,consensus,1.0,zinc15
C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@]2(C)[C@@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,XCDQFROEGGNAER-NNEHRPRASA-N,C[C@H]1[C@H](O)CC[C@@H]2[C@]1(C)CC[C@@H]1[C@@]3(C)CC[C@@]4(C)CCC(C)(C)C[C@H]4[C@]3(C)CC[C@]12C,ZINC15 : ZINC000006066842,consensus,1.0,zinc15
C[C@@H]1[C@@H](O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@]2(C)[C@@H]3CC(C)(C)CC[C@@]3(C)CC[C@]12C,XCDQFROEGGNAER-NNEHRPRASA-N,C[C@@H]1[C@H](O)CC[C@H]2[C@@]3(C)CC[C@@]4(C)[C@@H]5CC(C)(C)CC[C@]5(C)CC[C@]4(C)[C@H]3CC[C@]12C,ZINC15 : ZINC000257350386,consensus,1.0,zinc15
