query_smiles,query_inchikey,smiles,identifier,search_type,score,database
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,NC(=O)c1ccc(N)cc1,ZINC15 : 157169,consensus,0.4,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,Nc1ccc(C(=O)[O-])cc1,ZINC15 : 920,consensus,0.38461538461538464,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,CC(=O)c1ccc(N)cc1,ZINC15 : 157539,consensus,0.38461538461538464,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,Nc1ccc(C=O)cc1,ZINC15 : 1677280,consensus,0.36,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,ZINC15 : ZINC000000006310,consensus,0.36,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,Nc1ccc(N=O)cc1,ZINC15 : 5420834,consensus,0.36,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,Nc1ccc([P@](=O)([O-])O)cc1,ZINC15 : 1555515,consensus,0.35714285714285715,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,Nc1ccc([P@@](=O)([O-])O)cc1,ZINC15 : 1555515,consensus,0.35714285714285715,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,NC1=CC=C(S(N)(=O)=O)C=C1,ENAMINE-REAL : PV-002352468328,consensus,0.34615384615384615,enamine-real
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,Nc1ccc(S(N)(=O)=O)cc1,ZINC15 : 2101,consensus,0.34615384615384615,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,NC(=[NH2+])c1ccc(N)cc1,ZINC15 : 156390,consensus,0.34615384615384615,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,NC(=S)c1ccc(N)cc1,ZINC15 : 5420687,consensus,0.34615384615384615,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)[O-])cc1,ZINC15 : 1530397,consensus,0.34615384615384615,zinc15
NC1=CC=C(C=C1)[As](O)(O)=O,XKNKHVGWJDPIRJ-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)C(=O)[O-])cc1,ZINC15 : ZINC000004642459,consensus,0.3448275862068966,zinc15
