query_smiles,query_inchikey,smiles,identifier,search_type,score,database
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[Si]1(C)[Si](C)(C)[Si](C)(C)[Si](C)(C)[Si](C)(C)[Si]1(C)C,ZINC15 : ZINC000169793901,consensus,0.3,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[Si]1(C)[NH2+][Si](C)(C)[NH2+][Si](C)(C)[NH2+][Si](C)(C)[NH2+]1,ZINC15 : ZINC000195762497,consensus,0.23076923076923078,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[Si](C)(C)[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,ZINC15 : ZINC000169746708,consensus,0.15384615384615385,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)OC1(C)C,ZINC15 : 2037439,consensus,0.15384615384615385,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[Si](C)(C)[Si]([Si](C)(C)C)[Si](C)(C)C,ZINC15 : ZINC000195797429,consensus,0.14285714285714285,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[NH+]([Si](C)(C)C)[Si](C)(C)C,ZINC15 : 169747122,consensus,0.13333333333333333,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[C@H]1O[PH]2(O[C@@H]1C)O[C@@H](C)[C@H](C)O2,ZINC15 : ZINC000822512883,consensus,0.11764705882352941,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)OC2C(O1)C1OC(C)(C)OC1C1OC(C)(C)OC21,ZINC15 : ZINC000001720154,consensus,0.11764705882352941,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[C@H]1O[PH]2(O[C@@H]1C)O[C@H](C)[C@H](C)O2,ZINC15 : ZINC000017820655,consensus,0.11764705882352941,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[C@H]1O[PH]2(O[C@H]1C)O[C@@H](C)[C@H](C)O2,ZINC15 : ZINC000017859858,consensus,0.11764705882352941,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C2(C)O[C@](C)(O)[C@@](C)(O)O2)O[C@](C)(O)[C@@](C)(O)O1,ZINC15 : ZINC000005748759,consensus,0.1111111111111111,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC(C)(C)[Si](C)(C)[NH2+][Si](C)(C)C(C)(C)C,ZINC15 : ZINC000196103787,consensus,0.1111111111111111,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC(C)(C)[PH+]([Si](C)(C)C)[Si](C)(C)C,ZINC15 : ZINC000195800921,consensus,0.1111111111111111,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)OP(O)OC1(C)C,ZINC15 : 137213767,consensus,0.10526315789473684,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)O[PH](=O)OC1(C)C,ZINC15 : 44143634,consensus,0.10526315789473684,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CCOC(=O)C[NH+]1[Si](C)(C)CC[Si]1(C)C,ZINC15 : ZINC000170159283,consensus,0.1,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CO[C@]1(C)CO[C@](C)(OC)CO1,ZINC15 : 173710,consensus,0.09523809523809523,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CO[C@]1(C)CO[C@@](C)(OC)CO1,ZINC15 : 12341217,consensus,0.09523809523809523,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,COC1(C)OCCO1,ZINC15 : 21982677,consensus,0.09523809523809523,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CO[C@@]1(C)CO[C@@](C)(OC)CO1,ZINC15 : 173719,consensus,0.09523809523809523,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[Si](C)(C)N(S[NH+]([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,ZINC15 : ZINC000169808210,consensus,0.09090909090909091,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)COS(=O)(=O)OC1,ZINC15 : 95811022,consensus,0.09090909090909091,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)COS(=O)OC1,ZINC15 : 96334152,consensus,0.09090909090909091,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC(C)(O)[C@H]1OC(C)(C)O[C@@H]1C(C)(C)O,ZINC15 : ZINC000000333266,consensus,0.08695652173913043,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)C[C@](C)(O)C(C)(C)O1,ZINC15 : 1665898,consensus,0.08695652173913043,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)C[C@@]2(C)O[C@@]3(C)CC(C)(C)O[C@]3(C)O[C@@]2(C)O1,ZINC15 : ZINC000104129673,consensus,0.08695652173913043,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)C[C@]2(C)O[C@@]3(C)CC(C)(C)O[C@@]3(C)O[C@@]2(C)O1,ZINC15 : ZINC000016954319,consensus,0.08695652173913043,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)C[C@]2(C)O[C@@]3(C)CC(C)(C)O[C@]3(C)O[C@@]2(C)O1,ZINC15 : ZINC000005051934,consensus,0.08695652173913043,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)C[C@@]2(C)O[C@@]3(C)CC(C)(C)O[C@]3(C)O[C@]2(C)O1,ZINC15 : ZINC000016954321,consensus,0.08695652173913043,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC1(C)C[C@@](C)(O)C(C)(C)O1,ZINC15 : 2011353,consensus,0.08695652173913043,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,CC(C)(O)[C@@H]1OC(C)(C)O[C@H]1C(C)(C)O,ZINC15 : ZINC000000333265,consensus,0.08695652173913043,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[C@@H](C#C[Si](C)(C)C)OC[C@@H]1CC(C)(C)O1,ZINC15 : ZINC001224645774,consensus,0.08333333333333333,zinc15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[C@H](C#C[Si](C)(C)C)OC[C@@H]1CC(C)(C)O1,ZINC15 : ZINC001224645772,consensus,0.08333333333333333,zinc15
