query_smiles,query_inchikey,smiles,identifier,search_type,score,database
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,Nc1cc2nc(-c3ccccc3)oc2c(COc2c(Cl)cc(C[C@H]([NH3+])C(=O)[O-])cc2Cl)c1,ZINC15 : ZINC000068199927,morgan,0.7692307692307693,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,COC(=O)[C@@H](N)Cc1cc(Cl)c(OCc2cccc3nc(-c4ccccc4)oc32)c(Cl)c1,ZINC15 : ZINC000085221233,morgan,0.6764705882352942,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,COC(=O)[C@@H]([NH3+])Cc1cc(Cl)c(OCc2cccc3nc(-c4ccccc4)oc32)c(Cl)c1,ZINC15 : ZINC000085221233,morgan,0.5833333333333334,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,NC(CC1=CC=CC(NC(=O)C2=NOC(COC3=C(Cl)C=CC=C3Cl)=C2)=C1)C(=O)O,ENAMINE-REAL : Z4788680823,morgan,0.3974358974358974,enamine-real
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,N[C@@H](CC1=CC=CC(NC(=O)C2=NOC(COC3=C(Cl)C=CC=C3Cl)=C2)=C1)C(=O)O,ENAMINE-REAL : Z3824432166,morgan,0.3974358974358974,enamine-real
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,Nc1nnc(-c2cc(Cl)c(OCc3ccccc3)c(Cl)c2)o1,ZINC15 : ZINC000216847281,morgan,0.38235294117647056,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,Clc1cc(Cl)c(OCc2ccccc2Cl)c(CNc2ccc3oc(-c4ccccc4)nc3c2)c1,ZINC15 : ZINC000016493488,morgan,0.375,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,Cc1nc(-c2ccccc2)oc1COc1ccc(Cl)cc1C(N)=O,ZINC15 : ZINC001188465878,morgan,0.35064935064935066,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,COCC[C@H](N)C(=O)OCc1oc(-c2ccccc2)nc1C,ZINC15 : ZINC001573978698,morgan,0.3466666666666667,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,CCCC[C@@H](N)C(=O)OCc1oc(-c2ccccc2)nc1C,ZINC15 : ZINC001577414693,morgan,0.3466666666666667,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,COCC[C@@H](N)C(=O)OCc1oc(-c2ccccc2)nc1C,ZINC15 : ZINC001573978697,morgan,0.3466666666666667,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,CCCC[C@H](N)C(=O)OCc1oc(-c2ccccc2)nc1C,ZINC15 : ZINC001577414692,morgan,0.3466666666666667,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,Nc1cc(-c2nc3cccc(Cc4ccccc4)c3o2)c(Cl)cc1Cl,ZINC15 : ZINC000057352787,morgan,0.33783783783783783,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,CC(=O)c1cc(Cl)ccc1OCc1nc(-c2ccccc2)oc1C,ZINC15 : ZINC000024839694,morgan,0.33766233766233766,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,Cc1cc2nc(-c3ccc(OCc4ccc(Cl)cc4Cl)cc3)oc2c(C)c1,ZINC15 : ZINC000226295177,morgan,0.33766233766233766,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,Cc1oc(-c2ccccc2)nc1COc1ccc(Cl)cc1C(N)=O,ZINC15 : ZINC000012482352,morgan,0.3333333333333333,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,Cc1oc(-c2ccccc2)nc1COc1cc(Cl)ccc1C(N)=O,ZINC15 : ZINC000062696000,morgan,0.3333333333333333,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,N[C@@H](CC1=NC(C2=C(Cl)C=CC=C2Cl)=NO1)C(=O)OCC1=CC=CC=C1,ENAMINE-REAL : PV-004803312977,morgan,0.32894736842105265,enamine-real
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,NC(CC1=NC(C2=C(Cl)C=CC=C2Cl)=NO1)C(=O)OCC1=CC=CC=C1,ENAMINE-REAL : PV-004803312978,morgan,0.32894736842105265,enamine-real
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,N[C@@H](Cc1nc(-c2cc(Cl)ccc2Cl)no1)C(=O)OCc1ccccc1,ZINC15 : ZINC001247968695,morgan,0.325,zinc15
N[C@@H](CC1=CC(Cl)=C(OCC2=C3OC(=NC3=CC(N)=C2)C2=CC=CC=C2)C(Cl)=C1)C(O)=O,XNRZJPQTMQZBCE-SFHVURJKSA-N,N[C@H](Cc1nc(-c2cc(Cl)ccc2Cl)no1)C(=O)OCc1ccccc1,ZINC15 : ZINC001247673543,morgan,0.325,zinc15
