query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,CC[NH+](CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Cl)cc32)c1C,ZINC15 : ZINC000003989259,consensus,0.7538461538461538,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,CCOC(=O)c1c(C)[nH]c(/C=C2/C(=O)Nc3ccc(Cl)cc32)c1C,ZINC15 : ZINC000212866796,consensus,0.65625,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,CCOC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Cl)cc32)c1C,ZINC15 : ZINC000008220459,consensus,0.65625,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,CC[NH+](CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,ZINC15 : ZINC000003964325,consensus,0.6056338028169014,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,CC[NH2+]CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,ZINC15 : ZINC000022056118,consensus,0.6056338028169014,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,CC[NH+](CC)CCNC(=O)c1c(C)[nH]c(/C=C2/C(=O)Nc3ccc(F)cc32)c1C,ZINC15 : ZINC000013673696,consensus,0.6056338028169014,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC[NH+](C)C,ZINC15 : ZINC000013493833,consensus,0.6,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2/c3cc(F)ccc3NC2=O)c(C)c1C(=O)NCCON,ZINC15 : ZINC001195250912,consensus,0.5915492957746479,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2/c3cc(F)ccc3NC2=O)c(C)c1C(=O)NCCCC[NH3+],ZINC15 : ZINC001221345996,consensus,0.5915492957746479,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCCC(C)(C)O,ZINC15 : ZINC001195255875,consensus,0.5753424657534246,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC[NH+]1CCCC1,ZINC15 : ZINC000003989258,consensus,0.5753424657534246,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(F)(F)F,ZINC15 : ZINC001195243207,consensus,0.5714285714285714,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,C#CCNC(=O)c1c(C)[nH]c(/C=C2/c3cc(F)ccc3NC2=O)c1C,ZINC15 : ZINC001195251289,consensus,0.5714285714285714,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[Si](C)(C)C,ZINC15 : ZINC001195253194,consensus,0.5714285714285714,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2/c3cc(F)ccc3NC2=O)c(C)c1C(=O)NCCCCC#N,ZINC15 : ZINC001195253957,consensus,0.5675675675675675,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(=O)C(C)(C)C,ZINC15 : ZINC001195250586,consensus,0.5633802816901409,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(C)(F)F,ZINC15 : ZINC001195242851,consensus,0.5633802816901409,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(C)(C)S,ZINC15 : ZINC001195254617,consensus,0.5555555555555556,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@@H](O)CO,ZINC15 : ZINC001195251277,consensus,0.547945205479452,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,CCN(C)C(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,ZINC15 : ZINC001195244737,consensus,0.5428571428571428,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,CC[C@H](CO)NC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,ZINC15 : ZINC001221379021,consensus,0.5416666666666666,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,CC[C@@H](CO)NC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,ZINC15 : ZINC001221379022,consensus,0.5416666666666666,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,CCN(CC)CCNC(=O)C1=C(C)NC2=CC=C(Cl)C=C12,ENAMINE-REAL : Z1497319739,consensus,0.5384615384615384,enamine-real
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCc1cc[nH]c1,ZINC15 : ZINC001195255445,consensus,0.5333333333333333,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCc1ccc[nH]1,ZINC15 : ZINC001195255356,consensus,0.5333333333333333,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H]1C[C@H](F)C1,ZINC15 : ZINC001195254348,consensus,0.5333333333333333,zinc15
CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(Cl)C=C3)=C1C,XPLJEFSRINKZLC-ATVHPVEESA-N,Cc1[nH]c(/C=C2/c3cc(F)ccc3NC2=O)c(C)c1C(=O)NC=N,ZINC15 : ZINC001195255915,consensus,0.5285714285714286,zinc15
