query_smiles,query_inchikey,smiles,identifier,search_type,score,database
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2ccc(Cl)cc2[C@](C#CC2CC2)(C(F)(F)F)O1,ZINC15 : ZINC000000018097,consensus,1.0,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,ZINC15 : ZINC000002020233,consensus,1.0,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2cc([O-])c(Cl)cc2[C@](C#CC2CC2)(C(F)(F)F)O1,ZINC15 : ZINC000006524607,consensus,0.6923076923076923,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2cc([O-])c(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,ZINC15 : ZINC000006524609,consensus,0.6923076923076923,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2cc(O)c(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,ZINC15 : ZINC000006524609,consensus,0.6923076923076923,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2cc(O)c(Cl)cc2[C@](C#CC2CC2)(C(F)(F)F)O1,ZINC15 : ZINC000006524607,consensus,0.6923076923076923,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2c([O-])cc(Cl)cc2[C@](C#CC2CC2)(C(F)(F)F)O1,ZINC15 : ZINC000006524420,consensus,0.660377358490566,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2c(O)cc(Cl)cc2[C@](C#CC2CC2)(C(F)(F)F)O1,ZINC15 : ZINC000006524420,consensus,0.660377358490566,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2c(O)cc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,ZINC15 : ZINC000006524414,consensus,0.660377358490566,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2c([O-])cc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,ZINC15 : ZINC000006524414,consensus,0.660377358490566,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,CCCC#C[C@@]1(C(F)(F)F)OC(=O)Nc2ccc(Cl)cc21,ZINC15 : ZINC000065739249,consensus,0.6415094339622641,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,CCCC#C[C@]1(C(F)(F)F)OC(=O)Nc2ccc(Cl)cc21,ZINC15 : ZINC000065739253,consensus,0.6415094339622641,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,COC(=O)N1C(=O)O[C@](C#CC2CC2)(C(F)(F)F)c2cc(Cl)ccc21,ZINC15 : ZINC000022054346,consensus,0.5737704918032787,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2c(O)cc(Cl)cc2[C@@](C#CC2(O)CC2)(C(F)(F)F)O1,ZINC15 : ZINC000022057675,consensus,0.45,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2c(O)cc(Cl)cc2[C@](C#CC2(O)CC2)(C(F)(F)F)O1,ZINC15 : ZINC000035644100,consensus,0.45,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2c([O-])cc(Cl)cc2[C@](C#CC2(O)CC2)(C(F)(F)F)O1,ZINC15 : ZINC000035644100,consensus,0.4426229508196721,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2c([O-])cc(Cl)cc2[C@@](C#CC2(O)CC2)(C(F)(F)F)O1,ZINC15 : ZINC000022057675,consensus,0.4426229508196721,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2ccc(Cl)cc2[C@]1(O)C(F)(F)F,ZINC15 : ZINC000002052706,consensus,0.43137254901960786,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2ccc(Cl)cc2[C@@]1(O)C(F)(F)F,ZINC15 : ZINC000002052705,consensus,0.43137254901960786,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2ccc(Cl)cc2C1(F)F,ZINC15 : ZINC000095774127,consensus,0.3877551020408163,zinc15
FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1,XPOQHMRABVBWPR-ZDUSSCGKSA-N,O=C1Nc2ccc(Cl)cc2O[C@@]1([O-])C(F)(F)Cl,ZINC15 : ZINC000004693873,consensus,0.3684210526315789,zinc15
