query_smiles,query_inchikey,smiles,identifier,search_type,score,database
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,ZINC15 : ZINC000003830948,consensus,1.0,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,ZINC15 : ZINC000003830947,consensus,1.0,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@H](O)C(=O)Nc1c(I)c(CNC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,ZINC15 : ZINC000150340285,consensus,0.7674418604651163,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@H](O)C(=O)NC(CO)CO,ZINC15 : 38246834,consensus,0.5,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@@H](O)C(=O)NC(CO)CO,ZINC15 : 38246835,consensus,0.5,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(=O)Nc1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I,ZINC15 : ZINC000094303102,consensus,0.4782608695652174,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(=O)Nc1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,ZINC15 : ZINC000094303101,consensus,0.4782608695652174,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(=O)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,ZINC15 : ZINC000094303100,consensus,0.4782608695652174,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC1=C(C)C(C(=O)NC(CO)CO)=C(NC(=O)C(C)C)S1,ENAMINE-REAL : Z1669663745,consensus,0.4583333333333333,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,O=C(CO)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,ZINC15 : ZINC000097978560,consensus,0.44680851063829785,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,O=C(CO)Nc1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@H](O)CO)c1I,ZINC15 : ZINC000097978561,consensus,0.44680851063829785,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,O=C(CO)Nc1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I,ZINC15 : ZINC000097978562,consensus,0.44680851063829785,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(C)C(=O)NC1=CC=C(C(=O)NC(CO)CO)C=C1,ENAMINE-REAL : Z1669661102,consensus,0.43478260869565216,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@@H](O)C(=O)N[C@H](CO)CCF,ZINC15 : 652911877,consensus,0.42857142857142855,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CNC(=O)[C@@H](CO)NC(=O)c1c(I)c(NC(=O)COC)c(I)c(C(=O)[O-])c1I,ZINC15 : ZINC000008214416,consensus,0.42857142857142855,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CNC(=O)[C@H](CO)NC(=O)c1c(I)c(NC(=O)COC)c(I)c(C(=O)[O-])c1I,ZINC15 : ZINC000085540089,consensus,0.42857142857142855,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@H](O)C(=O)N[C@@H](CO)CCF,ZINC15 : 652911875,consensus,0.42857142857142855,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@@H](O)C(=O)N[C@@H](CO)CCF,ZINC15 : 652911876,consensus,0.42857142857142855,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@H](O)C(=O)N[C@H](CO)CCF,ZINC15 : 652911878,consensus,0.42857142857142855,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,Cc1cc(I)cc(C(=O)NC(CO)CO)c1C,ZINC15 : ZINC000119645899,consensus,0.40425531914893614,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,Cc1cccc(C(=O)NC(CO)CO)c1I,ZINC15 : ZINC000119467289,consensus,0.40425531914893614,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(C)C(=O)NC1=CC=C(C(=O)N[C@@H](CN)CO)C=C1,ENAMINE-REAL : PV-002901490086,consensus,0.4,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(O)C(=O)NC[C@@H](CO)NC(=O)C1=C(Br)C=C(F)C(F)=C1F,ENAMINE-REAL : PV-008113885179,consensus,0.4,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(C)[C@H](O)C(=O)NC(CO)CO,ZINC15 : 308278114,consensus,0.4,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(O)C(=O)NCC(CO)NC(=O)C1=C(Br)C=C(F)C(F)=C1F,ENAMINE-REAL : PV-008113885181,consensus,0.4,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(C)[C@@H](O)C(=O)NC(CO)CO,ZINC15 : 379418371,consensus,0.4,zinc15
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(C)C(=O)NC1=CC=C(C(=O)N[C@H](CN)CO)C=C1,ENAMINE-REAL : PV-002901490085,consensus,0.4,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(C)C(=O)NC1=CC=C(C(=O)NC(CN)CO)C=C1,ENAMINE-REAL : PV-002901490087,consensus,0.4,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC(O)C(=O)NC[C@H](CO)NC(=O)C1=C(Br)C=C(F)C(F)=C1F,ENAMINE-REAL : PV-008113885180,consensus,0.4,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC1=C(C)C(C(=O)N[C@@H](CO)CCO)=C(NC(=O)C(C)C)S1,ENAMINE-REAL : Z2638177926,consensus,0.39622641509433965,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC1=C(C)C(C(=O)N[C@H](CO)CCO)=C(NC(=O)C(C)C)S1,ENAMINE-REAL : Z2638259502,consensus,0.39622641509433965,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,CC1=C(C)C(C(=O)NC(CO)CCO)=C(NC(=O)C(C)C)S1,ENAMINE-REAL : Z4033936495,consensus,0.39622641509433965,enamine-real
C[C@H](O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-LURJTMIESA-N,C[C@H](O)C(=O)N[C@@H](CO)CC(C)(C)C,ZINC15 : ZINC000345880376,consensus,0.3953488372093023,zinc15
