query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@@H]2OC[C@@H](O)[C@@H]2CO)c(=O)[nH]c1=O,ZINC15 : ZINC000003881601,consensus,0.49056603773584906,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@@H]2OC[C@H](O)[C@@H]2CO)c(=O)[nH]c1=O,ZINC15 : ZINC000016028117,consensus,0.49056603773584906,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@@H]2OC[C@H](O)[C@H]2CO)c(=O)[nH]c1=O,ZINC15 : ZINC000000517827,consensus,0.49056603773584906,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@@H]2OC[C@@H](O)[C@H]2CO)c(=O)[nH]c1=O,ZINC15 : ZINC000033747619,consensus,0.49056603773584906,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@@H]2O[C@H](CO)C[C@H]2O)c(=O)[nH]c1=O,ZINC15 : ZINC000029250350,consensus,0.4444444444444444,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@H]2C[C@@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000005765078,consensus,0.43636363636363634,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000000025672,consensus,0.43636363636363634,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000000002159,consensus,0.43636363636363634,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@@H]2C[C@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000001842580,consensus,0.43636363636363634,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000006072455,consensus,0.43636363636363634,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@@H]2C[C@@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000002572653,consensus,0.43636363636363634,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@H]2C[C@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000003831529,consensus,0.43636363636363634,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000002545102,consensus,0.43636363636363634,zinc15
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2,XRMLXZVSFIBRRJ-PEFMBERDSA-N,Cc1cn([C@@H]2O[C@H](CO)[C@H](O)C2(F)F)c(=O)[nH]c1=O,ZINC15 : ZINC000077286830,consensus,0.42857142857142855,zinc15
