query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(C)c1cc(/C=C(/C#N)C(=O)NC(N)=O)cc(C(C)(C)C)c1O,ZINC15 : ZINC000006323289,consensus,0.5909090909090909,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,COCCNC(=O)/C(C#N)=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,ZINC15 : ZINC000016409684,consensus,0.5306122448979592,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(C)c1cc(/C=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,ZINC15 : ZINC000001653050,consensus,0.4857142857142857,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(C)c1cc(/C=C\c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,ZINC15 : ZINC000017146867,consensus,0.4857142857142857,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(=O)C(=Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)C(C)=O,ZINC15 : ZINC000000220322,consensus,0.475,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(C)c1cc(/C=C(\C#N)C(=O)NC[C@@H]2CCCO2)cc(C(C)(C)C)c1O,ZINC15 : ZINC000016437584,consensus,0.4642857142857143,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(C)c1cc(/C=C(\C#N)C(=O)NC[C@H]2CCCO2)cc(C(C)(C)C)c1O,ZINC15 : ZINC000016437587,consensus,0.4642857142857143,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(C)c1cc(/C=N/O)cc(C(C)(C)C)c1O,ZINC15 : ZINC000100073678,consensus,0.4358974358974359,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(C)c1cc(/C=N\O)cc(C(C)(C)C)c1O,ZINC15 : ZINC000013130024,consensus,0.4358974358974359,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(C)C1=CC(C=NO)=CC(C(C)(C)C)=C1O,ENAMINE-REAL : Z49568017,consensus,0.4358974358974359,enamine-real
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(C)C(=O)C(C#N)=CC1=CC(O)=CC(C(C)(C)C)=C1,ENAMINE-REAL : Z1672102702,consensus,0.425531914893617,enamine-real
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,COC1=CC(C=C(C#N)C(=O)C(C)(C)C)=CC(OC)=C1O,ENAMINE-REAL : Z44306354,consensus,0.425531914893617,enamine-real
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(C)c1cc(CC#N)cc(C(C)(C)C)c1O,ZINC15 : ZINC000000157305,consensus,0.425,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,COC(=O)/C(=C\c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)C(C)=O,ZINC15 : ZINC000003106624,consensus,0.41304347826086957,zinc15
[H]\C(=C(\C#N)C(S)=N)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,XRZYELWZLNAXGE-KPKJPENVSA-N,CC(C)(F)C(=O)C(C#N)=CC1=CC(C(C)(C)C)=CC(O)=C1,ENAMINE-REAL : Z2285455658,consensus,0.40816326530612246,enamine-real
