query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC1=C(CN2C=CC(OCCC3=CC=CS3)=CC2=O)C=CC=C1N,YCLREGRRHGLOAK-UHFFFAOYSA-N,Cc1c(N)cccc1Cn1ccc(OCCc2cccs2)cc1=O,ZINC15 : ZINC000016696900,consensus,1.0,zinc15
CC1=C(CN2C=CC(OCCC3=CC=CS3)=CC2=O)C=CC=C1N,YCLREGRRHGLOAK-UHFFFAOYSA-N,Cc1c(N)cccc1C(=O)OCCc1cccs1,ZINC15 : ZINC000049585252,consensus,0.45901639344262296,zinc15
CC1=C(CN2C=CC(OCCC3=CC=CS3)=CC2=O)C=CC=C1N,YCLREGRRHGLOAK-UHFFFAOYSA-N,Nc1ccccc1OCCc1cccs1,ZINC15 : ZINC000012395369,consensus,0.42857142857142855,zinc15
CC1=C(CN2C=CC(OCCC3=CC=CS3)=CC2=O)C=CC=C1N,YCLREGRRHGLOAK-UHFFFAOYSA-N,NCC1=CC=C(OCCC2=CC=CS2)C=C1Cl,ENAMINE-REAL : Z3230481793,consensus,0.4262295081967213,enamine-real
CC1=C(CN2C=CC(OCCC3=CC=CS3)=CC2=O)C=CC=C1N,YCLREGRRHGLOAK-UHFFFAOYSA-N,CC1=CC=CC=C1CN1C=C(OCCC2=CC=CS2)C=N1,ENAMINE-REAL : PV-005082761209,consensus,0.42424242424242425,enamine-real
CC1=C(CN2C=CC(OCCC3=CC=CS3)=CC2=O)C=CC=C1N,YCLREGRRHGLOAK-UHFFFAOYSA-N,CC1=CC=CC(OCCN2C(=O)C(=O)N(CCC3=CC=CS3)C2=O)=C1,ENAMINE-REAL : Z90071695,consensus,0.42424242424242425,enamine-real
CC1=C(CN2C=CC(OCCC3=CC=CS3)=CC2=O)C=CC=C1N,YCLREGRRHGLOAK-UHFFFAOYSA-N,O=C(Cn1ccccc1=O)OCCc1cccs1,ZINC15 : ZINC000067802032,consensus,0.4126984126984127,zinc15
CC1=C(CN2C=CC(OCCC3=CC=CS3)=CC2=O)C=CC=C1N,YCLREGRRHGLOAK-UHFFFAOYSA-N,Cn1c(=O)ccn(CC(=O)OCCc2cccs2)c1=O,ZINC15 : ZINC000067801883,consensus,0.4090909090909091,zinc15
CC1=C(CN2C=CC(OCCC3=CC=CS3)=CC2=O)C=CC=C1N,YCLREGRRHGLOAK-UHFFFAOYSA-N,Cc1ccccc1CCC(=O)OCCc1cccs1,ZINC15 : ZINC000729089752,consensus,0.3968253968253968,zinc15
CC1=C(CN2C=CC(OCCC3=CC=CS3)=CC2=O)C=CC=C1N,YCLREGRRHGLOAK-UHFFFAOYSA-N,Nc1cc(F)ccc1OCCc1cccs1,ZINC15 : ZINC000012395393,consensus,0.39344262295081966,zinc15
