query_smiles,query_inchikey,smiles,identifier,search_type,score,database
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Nc1ncc(C(=O)c2ccccc2)o1,ZINC15 : 34184763,consensus,0.6756756756756757,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC(Br)=CC=C3)CC2)O1,ENAMINE-REAL : PV-006414580386,consensus,0.6666666666666666,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCCN(C(=O)C3=CC(Br)=CC=C3)CCC2)O1,ENAMINE-REAL : PV-007676412816,consensus,0.6382978723404256,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCCN(C(=O)C3=CC(Br)=CC=C3)CC2)O1,ENAMINE-REAL : PV-005203168295,consensus,0.625,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2C3CCC2CN(C(=O)C2=CC(Br)=CC=C2)C3)O1,ENAMINE-REAL : PV-008415176469,consensus,0.5769230769230769,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2[C@H]3CC[C@@H]2CN(C(=O)C2=CC(Br)=CC=C2)C3)O1,ENAMINE-REAL : PV-008415176468,consensus,0.5769230769230769,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCC3(CN(C(=O)C4=CC(Br)=CC=C4)C3)C2)O1,ENAMINE-REAL : PV-008803467850,consensus,0.5660377358490566,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C([O-])c1ccc(C(=O)c2cccc(Br)c2)o1,ZINC15 : ZINC000085393574,consensus,0.5476190476190477,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CC3CC2CN(C(=O)C2=CC(Br)=CC=C2)C3)O1,ENAMINE-REAL : PV-007569661473,consensus,0.5454545454545454,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1cccc(Br)c1)c1cccc(Br)c1,ZINC15 : ZINC000039275508,consensus,0.5428571428571428,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CC(O)(C3=CC=CC(Br)=C3)C2)O1,ENAMINE-REAL : PV-002174832130,consensus,0.5294117647058824,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CC1=CC=C2OC(C(=O)C3=CC=CC(Br)=C3)=CC2=N1,ENAMINE-REAL : Z1120964891,consensus,0.5208333333333334,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CC(F)(C3=CC=CC(Br)=C3)C2)O1,ENAMINE-REAL : PV-002795904743,consensus,0.5192307692307693,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Nc1ccc(Br)cc1C(=O)c1cccc(Br)c1,ZINC15 : ZINC000010152044,consensus,0.5121951219512195,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,COC(=O)c1ccc(C(=O)c2cccc(Br)c2)o1,ZINC15 : ZINC000085393772,consensus,0.5111111111111111,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1ccccc1)c1cccc(Br)c1,ZINC15 : ZINC000002004510,consensus,0.5,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1cccnc1)c1cccc(Br)c1,ZINC15 : ZINC000022008051,consensus,0.5,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,COc1cc2cc(C(=O)c3cccc(Br)c3)oc2cc1OC,ZINC15 : ZINC000507036506,consensus,0.5,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1ccc(C(=O)c2cccc(Br)c2)cn1,ZINC15 : ZINC000045029067,consensus,0.5,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1ncco1)c1cccc(Br)c1,ZINC15 : ZINC000085651119,consensus,0.5,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCC(O)(C3=CC=CC(Br)=C3)C2)O1,ENAMINE-REAL : Z4184205393,consensus,0.4909090909090909,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)NC2=CC=C(Br)C=C2)O1,ENAMINE-REAL : PV-002123084771,consensus,0.4888888888888889,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1ccc(C(=O)c2cccc(Br)c2)nc1,ZINC15 : ZINC000045028540,consensus,0.4888888888888889,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1cccc(Br)c1)c1ccccn1,ZINC15 : ZINC000039365155,consensus,0.4883720930232558,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1ccc(Br)cc1)c1cccc(Br)c1,ZINC15 : ZINC000002567527,consensus,0.48717948717948717,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCOCC2C2=CC=CC(Br)=C2)O1,ENAMINE-REAL : Z3007597157,consensus,0.48214285714285715,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCOC(C3=CC=CC(Br)=C3)C2)O1,ENAMINE-REAL : Z3006929038,consensus,0.48214285714285715,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC(Br)=CN=C3)CC2)O1,ENAMINE-REAL : PV-006187321376,consensus,0.48,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,COc1ccc2cc(C(=O)c3cccc(Br)c3)oc2c1,ZINC15 : ZINC000040433169,consensus,0.48,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC=C(Br)C=C3)CC2)O1,ENAMINE-REAL : Z3006940066,consensus,0.4791666666666667,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CCCc1nnc(C(=O)c2cccc(Br)c2)o1,ZINC15 : ZINC001253990077,consensus,0.4791666666666667,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1cc(C(=O)c2cccc(Br)c2)ccn1,ZINC15 : ZINC000045038480,consensus,0.4772727272727273,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC(=O)c1cccc(Br)c1,ZINC15 : ZINC000000393845,consensus,0.47368421052631576,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC(Br)=CC=N3)CC2)O1,ENAMINE-REAL : PV-006237730264,consensus,0.47058823529411764,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC=CC(F)=C3)CC2)O1,ENAMINE-REAL : Z3006761923,consensus,0.47058823529411764,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CC1=NC=C(C(=O)N2CCN(C(=O)C3=CC(Br)=CC=C3)CC2)O1,ENAMINE-REAL : PV-006268335782,consensus,0.47058823529411764,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC=CC=C3)CC2)O1,ENAMINE-REAL : Z3006651762,consensus,0.46808510638297873,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1nccs1)c1cccc(Br)c1,ZINC15 : ZINC000095728248,consensus,0.4666666666666667,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CCc1ccc(C(=O)c2cccc(Br)c2)cc1,ZINC15 : ZINC000004241690,consensus,0.46511627906976744,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1cccs1)c1cccc(Br)c1,ZINC15 : ZINC000004779403,consensus,0.46511627906976744,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1cccc(C(=O)c2cccc(Br)c2)c1,ZINC15 : ZINC000004241917,consensus,0.4634146341463415,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1cccc(Br)c1)c1cccc(I)c1,ZINC15 : ZINC000002392532,consensus,0.4634146341463415,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1cccc(Cl)c1)c1cccc(Br)c1,ZINC15 : ZINC000004241352,consensus,0.4634146341463415,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1cccc(F)c1)c1cccc(Br)c1,ZINC15 : ZINC000037464075,consensus,0.4634146341463415,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CC(=O)c1cnc(N)o1,ZINC15 : 39068234,consensus,0.46153846153846156,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CC(C)Cc1nnc(C(=O)c2cccc(Br)c2)o1,ZINC15 : ZINC001256464067,consensus,0.46,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1ccnc(C(=O)c2cccc(Br)c2)c1,ZINC15 : ZINC000045028604,consensus,0.45652173913043476,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCCN(C(=O)C3=CC(Br)=CN=C3)CC2)O1,ENAMINE-REAL : PV-004400299039,consensus,0.4528301886792453,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1ccc(I)cc1)c1cccc(Br)c1,ZINC15 : ZINC000002392534,consensus,0.4523809523809524,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1cccc(Br)c1)c1cc(F)cc(F)c1,ZINC15 : ZINC000004241592,consensus,0.4523809523809524,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1ccc(F)cc1)c1cccc(Br)c1,ZINC15 : ZINC000000404132,consensus,0.4523809523809524,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1ccc(Cl)cc1)c1cccc(Br)c1,ZINC15 : ZINC000004241356,consensus,0.4523809523809524,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1cc(C)cc(C(=O)c2cccc(Br)c2)c1,ZINC15 : ZINC000004241668,consensus,0.4523809523809524,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1ccc(C(=O)c2cccc(Br)c2)cc1,ZINC15 : ZINC000004241920,consensus,0.4523809523809524,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CC3(CN(C(=O)C4=CC=C(Br)C=C4)C3)C2)O1,ENAMINE-REAL : PV-007035891280,consensus,0.45098039215686275,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCCN(C(=O)C3=CC=C(Br)C=C3)CC2)O1,ENAMINE-REAL : PV-005096700105,consensus,0.45098039215686275,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cn1ccnc1C(=O)c1cccc(Br)c1,ZINC15 : ZINC000013139376,consensus,0.44680851063829785,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CC3(CN(C(=O)C4=CC(Br)=CC=N4)C3)C2)O1,ENAMINE-REAL : PV-006799694682,consensus,0.4444444444444444,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CC1=NC=C(C(=O)N2CCCN(C(=O)C3=CC(Br)=CC=C3)CC2)O1,ENAMINE-REAL : PV-005077341959,consensus,0.4444444444444444,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCCN(C(=O)C3=CC(Br)=CC=N3)CC2)O1,ENAMINE-REAL : PV-005387511245,consensus,0.4444444444444444,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1cccc(C(=O)c2cccc(Br)c2)n1,ZINC15 : ZINC000045028476,consensus,0.4444444444444444,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CCCc1ccc(C(=O)c2cccc(Br)c2)cc1,ZINC15 : ZINC000004242118,consensus,0.4444444444444444,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1cc(C)c(C(=O)c2cccc(Br)c2)c(C)c1,ZINC15 : ZINC000019878188,consensus,0.4418604651162791,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1cccc(Br)c1)c1ccc(F)c(F)c1,ZINC15 : ZINC000004241588,consensus,0.4418604651162791,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC(Br)=CO3)CC2)O1,ENAMINE-REAL : PV-004444641876,consensus,0.44,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NCC(=O)c1cccc(Br)c1,ZINC15 : ZINC000053278235,consensus,0.43902439024390244,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CC3(CN(C(=O)C4=CC(F)=CC(Br)=C4)C3)C2)O1,ENAMINE-REAL : PV-007384579982,consensus,0.43636363636363634,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)NC2=CC=C(F)C(C(=O)C3=CC=CC=C3)=C2)O1,ENAMINE-REAL : PV-002403717302,consensus,0.43636363636363634,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CC(=O)c1cccc(Br)c1,ZINC15 : 167233,consensus,0.4358974358974359,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC=CC(Br)=C3F)CC2)O1,ENAMINE-REAL : PV-008210891079,consensus,0.4339622641509434,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,COc1cccc(C(=O)c2cccc(Br)c2)c1,ZINC15 : ZINC000002574644,consensus,0.4318181818181818,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=Cc1ccc(C(=O)c2cccc(Br)c2)cc1,ZINC15 : ZINC000000333552,consensus,0.4318181818181818,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1ccsc1)c1cccc(Br)c1,ZINC15 : ZINC000034607682,consensus,0.4318181818181818,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)NC(C(=O)C2=CC=CC=C2)C2=CC=CC=C2)O1,ENAMINE-REAL : PV-006778116145,consensus,0.43137254901960786,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC=C(Br)C=N3)CC2)O1,ENAMINE-REAL : PV-005466449555,consensus,0.43137254901960786,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1ccc(-c2noc(C(=O)c3cccc(Br)c3)n2)nc1,ZINC15 : ZINC001206162404,consensus,0.42592592592592593,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC=C(Br)C(F)=C3)CC2)O1,ENAMINE-REAL : PV-007335522880,consensus,0.42592592592592593,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Cc1cncc(-c2noc(C(=O)c3cccc(Br)c3)n2)c1,ZINC15 : ZINC001206161547,consensus,0.42592592592592593,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CCCCc1ccc(C(=O)c2cccc(Br)c2)cc1,ZINC15 : ZINC000004241296,consensus,0.425531914893617,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=COC(Br)=C3)CC2)O1,ENAMINE-REAL : PV-004566634849,consensus,0.4230769230769231,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,COc1cccc(C(=O)c2cc3cc(Br)ccc3o2)c1,ZINC15 : ZINC000020362306,consensus,0.4230769230769231,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CC(C)(C)c1ccc(C(=O)c2cccc(Br)c2)cc1,ZINC15 : ZINC000004241305,consensus,0.4222222222222222,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,COc1ccc(C(=O)c2cccc(Br)c2)cc1,ZINC15 : ZINC000002242938,consensus,0.4222222222222222,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CSc1ccc(C(=O)c2cccc(Br)c2)cc1,ZINC15 : ZINC000004241961,consensus,0.4222222222222222,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,O=C(c1cccc(Br)c1)c1cccc([N+](=O)[O-])c1,ZINC15 : ZINC000002392564,consensus,0.4222222222222222,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CC(C)c1ccc(C(=O)c2cccc(Br)c2)cc1,ZINC15 : ZINC000004241850,consensus,0.4222222222222222,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,CCc1ccccc1C(=O)c1cccc(Br)c1,ZINC15 : ZINC000043210150,consensus,0.4222222222222222,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC(F)=CC=C3)C3CCCCC32)O1,ENAMINE-REAL : PV-004713770326,consensus,0.42105263157894735,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,NC1=NC=C(C(=O)N2CCN(C(=O)C3=CC(F)=CC(Br)=C3)C3CC32)O1,ENAMINE-REAL : PV-008630173759,consensus,0.42105263157894735,enamine-real
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,Nc1cccc(C(=O)c2ccc(Br)cc2)c1,ZINC15 : ZINC000032122261,consensus,0.4186046511627907,zinc15
NC1=NC=C(O1)C(=O)C1=CC(Br)=CC=C1,YDCMMVTWXORJGO-UHFFFAOYSA-N,C[C@@H](ONC(=O)c1cccc(Br)c1)c1ncc(C(C)(C)C)o1,ZINC15 : ZINC000095972262,consensus,0.41818181818181815,zinc15
