query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1,YDZYKNJZCVIKPP-VWLOTQADSA-N,CNc1cccc(NC(=O)N[C@@H]2N=C(c3ccccn3)c3ccccc3N(CC(=O)C(C)(C)C)C2=O)c1,ZINC15 : ZINC000003810905,consensus,1.0,zinc15
CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1,YDZYKNJZCVIKPP-VWLOTQADSA-N,CC(=O)c1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)c3ccccc3C)C2=O)c1,ZINC15 : ZINC000100947492,consensus,0.524390243902439,zinc15
CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1,YDZYKNJZCVIKPP-VWLOTQADSA-N,CC(=O)c1cccc(NC(=O)N[C@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)c3ccccc3C)C2=O)c1,ZINC15 : ZINC000100947489,consensus,0.524390243902439,zinc15
CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1,YDZYKNJZCVIKPP-VWLOTQADSA-N,Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)c3ccccc3C)C2=O)c1,ZINC15 : ZINC000003786250,consensus,0.5185185185185185,zinc15
CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1,YDZYKNJZCVIKPP-VWLOTQADSA-N,Cc1cccc(NC(=O)N[C@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)c3ccccc3C)C2=O)c1,ZINC15 : ZINC000001482988,consensus,0.5185185185185185,zinc15
CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1,YDZYKNJZCVIKPP-VWLOTQADSA-N,COC(=O)c1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)c3ccccc3C)C2=O)c1,ZINC15 : ZINC000100947316,consensus,0.5058823529411764,zinc15
CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1,YDZYKNJZCVIKPP-VWLOTQADSA-N,COC(=O)c1cccc(NC(=O)N[C@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)c3ccccc3C)C2=O)c1,ZINC15 : ZINC000100947313,consensus,0.5058823529411764,zinc15
CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1,YDZYKNJZCVIKPP-VWLOTQADSA-N,CCc1cccc(NC(=O)N[C@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)c3ccccc3C)C2=O)c1,ZINC15 : ZINC000100946776,consensus,0.5,zinc15
CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1,YDZYKNJZCVIKPP-VWLOTQADSA-N,CCc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)c3ccccc3C)C2=O)c1,ZINC15 : ZINC000100946778,consensus,0.5,zinc15
CNC1=CC(NC(=O)N[C@@H]2N=C(C3=CC=CC=N3)C3=CC=CC=C3N(CC(=O)C(C)(C)C)C2=O)=CC=C1,YDZYKNJZCVIKPP-VWLOTQADSA-N,CSc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)c3ccccc3C)C2=O)c1,ZINC15 : ZINC000100946782,consensus,0.49411764705882355,zinc15
