query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,CC(=O)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)N(C)C[C@@H](O)CO)c1I,ZINC15 : ZINC000094303257,consensus,0.64,zinc15
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,CC(=O)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)N(C)C[C@H](O)CO)c1I,ZINC15 : ZINC000094303256,consensus,0.64,zinc15
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,CC(=O)Nc1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)N(C)C[C@@H](O)CO)c1I,ZINC15 : ZINC000094303259,consensus,0.64,zinc15
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,CC(=O)Nc1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)N(C)C[C@H](O)CO)c1I,ZINC15 : ZINC000094303258,consensus,0.64,zinc15
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,COCC(=O)Nc1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)N(C)C[C@H](O)CO)c1I,ZINC15 : ZINC000003830959,consensus,0.5818181818181818,zinc15
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,COCC(=O)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)N(C)C[C@@H](O)CO)c1I,ZINC15 : ZINC000003830958,consensus,0.5818181818181818,zinc15
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,COCC(=O)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)N(C)C[C@H](O)CO)c1I,ZINC15 : ZINC000003830957,consensus,0.5818181818181818,zinc15
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,COCC(=O)Nc1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)N(C)C[C@@H](O)CO)c1I,ZINC15 : ZINC000003830960,consensus,0.5818181818181818,zinc15
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,CN(C[C@@H](O)CO)C(=O)c1c(I)c(C(N)=O)c(I)c(C(=O)NC[C@@H](O)CO)c1I,ZINC15 : ZINC000085536968,consensus,0.56,zinc15
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(NC(=O)C(CO)CO)=C1I,YLPBXIKWXNRACS-UHFFFAOYSA-N,CN(C[C@H](O)CO)C(=O)c1c(I)c(C(N)=O)c(I)c(C(=O)NC[C@H](O)CO)c1I,ZINC15 : ZINC000008214417,consensus,0.56,zinc15
