query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C\C(=O)[O-],ZINC15 : 100004911,consensus,0.9545454545454546,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/C(=O)[O-],ZINC15 : 3861006,consensus,0.9545454545454546,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/C=C/C(=O)[O-],ZINC15 : 166420136,consensus,0.7307692307692307,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/C(=O)OCC,ZINC15 : 3860363,consensus,0.7272727272727273,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCCCOC(=O)/C=C\C(=O)[O-],ZINC15 : 100018115,consensus,0.6206896551724138,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCCCOC(=O)/C=C/C(=O)[O-],ZINC15 : 4975830,consensus,0.6206896551724138,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/C(C)=O,ZINC15 : 2144785,consensus,0.6153846153846154,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCCCCOC(=O)/C=C/C(=O)[O-],ZINC15 : 34662381,consensus,0.6,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCCCCCCCCCOC(=O)/C=C/C(=O)[O-],ZINC15 : ZINC000060184409,consensus,0.5806451612903226,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCCCCCCCCCCCCCCCCCOC(=O)/C=C/C(=O)[O-],ZINC15 : ZINC000056897710,consensus,0.5806451612903226,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCCCCCCCOC(=O)/C=C/C(=O)[O-],ZINC15 : ZINC000097943436,consensus,0.5806451612903226,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCCCCCCCCCCCCCCCCCOC(=O)/C=C\C(=O)[O-],ZINC15 : ZINC000085766618,consensus,0.5806451612903226,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCCCCCCCCCCCOC(=O)/C=C/C(=O)[O-],ZINC15 : ZINC000059285080,consensus,0.5806451612903226,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCCCCCOC(=O)/C=C/C(=O)[O-],ZINC15 : ZINC000005297632,consensus,0.5806451612903226,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C\I,ZINC15 : ZINC000004975987,consensus,0.5769230769230769,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/I,ZINC15 : ZINC000032298862,consensus,0.5769230769230769,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,O=C([O-])/C=C\C(=O)OCCCCCCCCCCOC(=O)/C=C\C(=O)[O-],ZINC15 : ZINC000100714672,consensus,0.5714285714285714,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,O=C([O-])/C=C/C(=O)OCCCCCCCCCCOC(=O)/C=C\C(=O)[O-],ZINC15 : ZINC000108903851,consensus,0.5714285714285714,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,O=C([O-])/C=C/C(=O)OCCCCCCCCCCOC(=O)/C=C/C(=O)[O-],ZINC15 : ZINC000006157421,consensus,0.5714285714285714,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,O=C([O-])/C=C/C(=O)OCCO,ZINC15 : 5178810,consensus,0.5714285714285714,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C\Cl,ZINC15 : 13386484,consensus,0.5555555555555556,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C\Br,ZINC15 : 12405145,consensus,0.5555555555555556,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/F,ZINC15 : 36455544,consensus,0.5555555555555556,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,C=CCOC(=O)/C=C/C(=O)[O-],ZINC15 : 5157795,consensus,0.5517241379310345,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/C(=O)OC(C)(C)C,ENAMINE-REAL : Z1269219889,consensus,0.5517241379310345,enamine-real
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)C=C/C(C)=C/C(=O)OCC,ENAMINE-REAL : Z4520434684,consensus,0.5517241379310345,enamine-real
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,C[NH+](C)CCOC(=O)/C=C/C(=O)[O-],ZINC15 : 5957906,consensus,0.5483870967741935,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C\CSCC(=O)[O-],ZINC15 : ZINC000829837718,consensus,0.5454545454545454,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/CSCC(=O)[O-],ZINC15 : ZINC000829837729,consensus,0.5454545454545454,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/c1ccc(-c2ccc(/C=C/C(=O)[O-])cc2)cc1,ZINC15 : ZINC001235531319,consensus,0.5428571428571428,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/S/C=C/C(=O)OCC,ZINC15 : ZINC000005592077,consensus,0.5357142857142857,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/C(=N/[O-])C(=O)OCC,ZINC15 : ZINC000002028757,consensus,0.53125,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/C(=N[O-])C(=O)OCC,ZINC15 : ZINC000252605638,consensus,0.53125,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C\C(=N[O-])C(=O)OCC,ZINC15 : ZINC000252605639,consensus,0.53125,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C\CCCC/C=C\C(=O)OCC,ZINC15 : ZINC000008615431,consensus,0.5172413793103449,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C\SC,ZINC15 : 32149363,consensus,0.5172413793103449,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/SC,ZINC15 : 32149368,consensus,0.5172413793103449,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/N(C)C,ZINC15 : 1699053,consensus,0.5172413793103449,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/CCCC/C=C\C(=O)OCC,ZINC15 : ZINC000017300545,consensus,0.5172413793103449,zinc15
[Mg++].CCOC(=O)\C=C\C([O-])=O.CCOC(=O)\C=C\C([O-])=O,ZHLRSUSHKGQBNV-SYWGCQIGSA-L,CCOC(=O)/C=C/CF,ZINC15 : 1614532,consensus,0.5172413793103449,zinc15
