query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,CCC(=O)c1ccc2c(c1)N(CCC[NH+](C)C)c1ccccc1S2,ZINC15 : ZINC000000057465,consensus,0.7254901960784313,zinc15
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,ZINC15 : ZINC000022446644,consensus,0.6727272727272727,zinc15
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,CCC(=O)c1ccc2c(c1)N(C[C@H](C)[NH+](C)C)c1ccccc1S2,ZINC15 : ZINC000000000669,consensus,0.6111111111111112,zinc15
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,CCC(=O)c1ccc2c(c1)N(C[C@@H](C)[NH+](C)C)c1ccccc1S2,ZINC15 : ZINC000000896849,consensus,0.6111111111111112,zinc15
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,CCC(=O)c1ccc2c(c1)N(CCCN1CC[NH+](CCO)CC1)c1ccccc1S2,ZINC15 : ZINC000022446644,consensus,0.6065573770491803,zinc15
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,CC(=O)c1ccc2c(c1)N(CCC[NH+](C)C)c1ccccc1S2,ZINC15 : ZINC000000057198,consensus,0.5636363636363636,zinc15
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,CN(CCCN1c2ccccc2Sc2ccccc21)CC(N)=O,ZINC15 : ZINC000860042287,consensus,0.5471698113207547,zinc15
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,C[NH+](C)CCCCN1c2ccccc2Sc2ccc(C(=O)c3ccccc3)cc21,ZINC15 : ZINC000001646841,consensus,0.5344827586206896,zinc15
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,CN(CCCN1c2ccccc2Sc2ccccc21)C(=O)CC(N)=O,ZINC15 : ZINC000863546204,consensus,0.5272727272727272,zinc15
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,ZINC15 : ZINC000022446634,consensus,0.5254237288135594,zinc15
CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN(C)C)C2=C1,ZQTVCQIJTREKSP-UHFFFAOYSA-N,CN(CCCN1c2ccccc2Sc2ccccc21)C(=O)CCCC(N)=O,ZINC15 : ZINC000863546436,consensus,0.5178571428571429,zinc15
