query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,C[C@@H](N)CSCCS(N)(=O)=O,ENAMINE-REAL : Z3071133482,consensus,0.5806451612903226,enamine-real
[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,C[C@H](N)CSCCS(N)(=O)=O,ENAMINE-REAL : Z3071135121,consensus,0.5806451612903226,enamine-real
[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,CC(N)CSCCS(N)(=O)=O,ENAMINE-REAL : Z3016331451,consensus,0.5806451612903226,enamine-real
[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,CC(O)CSCCS(N)(=O)=O,ENAMINE-REAL : Z2918580367,consensus,0.5625,enamine-real
[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,CC(C)CSCCS(N)(=O)=O,ZINC15 : 381865460,consensus,0.5483870967741935,zinc15
[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,NS(=O)(=O)CCSCC(=O)O,ENAMINE-REAL : Z3016331329,consensus,0.5483870967741935,enamine-real
[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,CC[C@H](N)CSCCS(N)(=O)=O,ENAMINE-REAL : Z4122892637,consensus,0.5454545454545454,enamine-real
[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,CCC(N)CSCCS(N)(=O)=O,ENAMINE-REAL : Z3016331455,consensus,0.5454545454545454,enamine-real
[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,CC[C@@H](N)CSCCS(N)(=O)=O,ENAMINE-REAL : Z4122897181,consensus,0.5454545454545454,enamine-real
[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O,ZRCBQBJBRHIRRG-BYPYZUCNSA-N,C[C@H](CSCCS(N)(=O)=O)C(=O)[O-],ZINC15 : ZINC000736612701,consensus,0.5428571428571428,zinc15
