query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,NC(=O)CCCCC(=O)N1CC2=CC=C(O)C=C2C1,ENAMINE-REAL : Z2717994194,consensus,0.30158730158730157,enamine-real
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,N=C(N)NCCCCCC(=O)N1CC2=CC=C(O)C=C2C1,ENAMINE-REAL : PV-005025574218,consensus,0.3,enamine-real
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,O=C(O)[C@@H]1[C@@H]2C[C@H](O)[C@H]1N(C(=O)CCCC1=CC=C(O)C=C1)C2,ENAMINE-REAL : PV-007238957860,consensus,0.2916666666666667,enamine-real
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,O=C(CCCC1=CC=CC=C1)N1C[C@@H](O)[C@H](N2C=C(C3=CC=C(O)C=C3)N=N2)C1,ENAMINE-REAL : PV-006303893203,consensus,0.2911392405063291,enamine-real
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,CN(C(=O)CCCCC1=CC=C(O)C(O)=C1)[C@@H]1C2=CC=CC=C2C[C@@H]1O,ENAMINE-REAL : Z5600022358,consensus,0.2894736842105263,enamine-real
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,CN(C(=O)CCCCC1=CC=C(O)C(O)=C1)[C@H]1C2=CC=CC=C2C[C@H]1O,ENAMINE-REAL : Z5597770805,consensus,0.2894736842105263,enamine-real
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,O=C(CCCCC1=CC=CC(O)=C1)N1C[C@@H](O)[C@H](CC2=CC=CC=C2)C1,ENAMINE-REAL : Z3205256245,consensus,0.28378378378378377,enamine-real
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,NC(=O)CCCCC1=NC(C2=CC=C(O)C=C2)=NO1,ENAMINE-REAL : Z2172048946,consensus,0.2835820895522388,enamine-real
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,NC(=O)CCCC(=O)N1CC2=CC=C(O)C=C2C1,ENAMINE-REAL : Z2717991613,consensus,0.28125,enamine-real
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,O=C(CCCCC(=O)N1CC2=CC=C(O)C=C2C1)N1CC2=CC=C(O)C=C2C1,ENAMINE-REAL : Z2717992048,consensus,0.2786885245901639,enamine-real
[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=CC(=C2)C1=CC=C(O)C=C1,ZSRRBAKATXAISL-LMNJBCLMSA-N,N#CCCCCC(N)C(=O)NC1=CC=C(C2=CC=C(O)C=C2)C=C1,ENAMINE-REAL : Z6371132976,consensus,0.2753623188405797,enamine-real
