query_smiles,query_inchikey,smiles,identifier,search_type,score,database
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,Fc1cc(F)c2c(c1)C[C@@H](n1c(CCNc3ccccn3)c[nH]c1=S)CO2,ZINC15 : ZINC001170708262,consensus,0.6956521739130435,zinc15
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,Cc1ccc(CNC(=S)NCCc2c[nH]c(=S)n2[C@H]2COc3c(F)cc(F)cc3C2)cc1,ZINC15 : ZINC001200325238,consensus,0.6805555555555556,zinc15
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,Fc1cc(F)c2c(c1)C[C@@H](n1c(CCNc3cccnc3)c[nH]c1=S)CO2,ZINC15 : ZINC001170708897,consensus,0.6714285714285714,zinc15
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,COC(=O)NCCc1c[nH]c(=S)n1[C@H]1COc2c(F)cc(F)cc2C1,ZINC15 : ZINC001193930887,consensus,0.6521739130434783,zinc15
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,C#CC(=O)NCCc1c[nH]c(=S)n1[C@H]1COc2c(F)cc(F)cc2C1,ZINC15 : ZINC001143915730,consensus,0.6521739130434783,zinc15
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,CCC(=O)NCCc1c[nH]c(=S)n1[C@H]1COc2c(F)cc(F)cc2C1,ZINC15 : ZINC001142721887,consensus,0.6521739130434783,zinc15
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,Fc1cc(F)cc(NC(=S)NCCc2c[nH]c(=S)n2[C@H]2COc3c(F)cc(F)cc3C2)c1,ZINC15 : ZINC001200679076,consensus,0.6428571428571429,zinc15
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,Fc1cc(F)c2c(c1)C[C@@H](n1c(CCNC(=S)Nc3ccc(F)c(F)c3)c[nH]c1=S)CO2,ZINC15 : ZINC001200705727,consensus,0.6301369863013698,zinc15
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,Fc1cc(F)c2c(c1)C[C@@H](n1c(CC[NH2+]C3CCCC3)c[nH]c1=S)CO2,ZINC15 : ZINC001257346406,consensus,0.6086956521739131,zinc15
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,Fc1cc(F)c2c(c1)C[C@@H](n1c(CC[NH2+][C@@H]3C[C@H]4C[C@H]4C3)c[nH]c1=S)CO2,ZINC15 : ZINC001167909193,consensus,0.6,zinc15
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,ZSSLCFLHEFXANG-GOSISDBHSA-N,Fc1cc(F)c2c(c1)C[C@@H](n1c(CC[NH2+][C@H]3C[C@H]4C[C@H]4C3)c[nH]c1=S)CO2,ZINC15 : ZINC001167909383,consensus,0.6,zinc15
