query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,CCOC(=O)[C@H](C(=O)N[C@@H](C(=O)OC)c1ccc(O)cc1)c1ccccc1,ZINC15 : ZINC000416206035,consensus,0.323943661971831,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,CCOC(=O)[C@@H](C(=O)N[C@@H](C(=O)OC)c1ccc(O)cc1)c1ccccc1,ZINC15 : ZINC000416206037,consensus,0.323943661971831,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,CCOC(=O)[C@@H](C(=O)N[C@H](C(=O)OC)c1ccc(O)cc1)c1ccccc1,ZINC15 : ZINC000416206040,consensus,0.323943661971831,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,CCOC(=O)[C@H](C(=O)N[C@H](C(=O)OC)c1ccc(O)cc1)c1ccccc1,ZINC15 : ZINC000416206038,consensus,0.323943661971831,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@H](NC(=O)[C@@H](NC(C)=O)c1ccccc1)c1ccc(O)cc1,ZINC15 : ZINC001181226753,consensus,0.3235294117647059,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@H](NC(=O)[C@H](NC(C)=O)c1ccccc1)c1ccc(O)cc1,ZINC15 : ZINC001181226754,consensus,0.3235294117647059,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,C=C[C@@H]1OCC[C@H]1C(=O)N[C@H](C(=O)OC)c1ccc(O)cc1,ZINC15 : ZINC000450932010,consensus,0.32,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,C=C[C@@H]1OCC[C@H]1C(=O)N[C@@H](C(=O)OC)c1ccc(O)cc1,ZINC15 : ZINC000450932008,consensus,0.32,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@@H](NC(=O)[C@H](OC)c1ccc(F)cc1)c1ccc(O)cc1,ZINC15 : ZINC001433890696,consensus,0.3188405797101449,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@@H](NC(=O)[C@@H](OC)c1ccc(F)cc1)c1ccc(O)cc1,ZINC15 : ZINC001433890690,consensus,0.3188405797101449,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@H](NC(=O)[C@H](OC)c1ccc(F)cc1)c1ccc(O)cc1,ZINC15 : ZINC001433890693,consensus,0.3188405797101449,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@H](NC(=O)[C@@H](OC)c1ccc(F)cc1)c1ccc(O)cc1,ZINC15 : ZINC001433890687,consensus,0.3188405797101449,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@@H](NC(=O)[C@H](OC)C1CCCC1)c1ccc(O)cc1,ZINC15 : ZINC000597518647,consensus,0.3142857142857143,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@@H](NC(=O)[C@@H](OC)C1CCCC1)c1ccc(O)cc1,ZINC15 : ZINC000597518644,consensus,0.3142857142857143,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@H](NC(=O)[C@@H](OC)C1CCCC1)c1ccc(O)cc1,ZINC15 : ZINC000597518642,consensus,0.3142857142857143,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@H](NC(=O)[C@H](OC)C1CCCC1)c1ccc(O)cc1,ZINC15 : ZINC000597518645,consensus,0.3142857142857143,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,CC[C@@H]1CC[C@@H](C(=O)N[C@@H](C(=O)OC)c2ccc(O)cc2)O1,ZINC15 : ZINC001362626510,consensus,0.3108108108108108,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,CC[C@@H]1CC[C@@H](C(=O)N[C@H](C(=O)OC)c2ccc(O)cc2)O1,ZINC15 : ZINC001362626521,consensus,0.3108108108108108,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,CC[C@@H]1CC[C@H](C(=O)N[C@@H](C(=O)OC)c2ccc(O)cc2)O1,ZINC15 : ZINC001362626517,consensus,0.3108108108108108,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,CC[C@@H]1CC[C@H](C(=O)N[C@H](C(=O)OC)c2ccc(O)cc2)O1,ZINC15 : ZINC001362626514,consensus,0.3108108108108108,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC1=CC=C(C(C(=O)N[C@@H](C(=O)O)C2=CC=C(O)C=C2)C(C)(C)C)C=C1,ENAMINE-REAL : PV-008245918670,consensus,0.30985915492957744,enamine-real
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@H](NC(=O)[C@@H](O)C(C)(C)O)c1ccc(O)cc1,ZINC15 : ZINC001412813130,consensus,0.3088235294117647,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@@H](NC(=O)[C@H](O)C(C)(C)O)c1ccc(O)cc1,ZINC15 : ZINC001412813153,consensus,0.3088235294117647,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@@H](NC(=O)[C@@H](O)C(C)(C)O)c1ccc(O)cc1,ZINC15 : ZINC001412813161,consensus,0.3088235294117647,zinc15
[H]N(C(=O)[C@@H](C(O)=O)C1=CC=C(O)C=C1)C(OC)(C(O)=O)[C@@]1([H])OCC(=C)C(=N1)C(O)=O,ZTOQXKUYWZBJLG-ICJBKSCFSA-N,COC(=O)[C@H](NC(=O)[C@H](O)C(C)(C)O)c1ccc(O)cc1,ZINC15 : ZINC001412813141,consensus,0.3088235294117647,zinc15
